case,job_id,peak_RF2_kN,U2_at_peak_mm,initial_tangent_kN_per_mm,final_RF2_kN,final_U2_mm,area_kN_mm,u_min_mm,u_max_mm,n_original_samples,n_deduped_samples,physical_elements,layered_elements,h_target_mm,h_measured_median_mm,h_over_lc,walltime_s,cpu_time_s,peak_memory_kb,odb_bytes,walltime_per_element_s,memory_kb_per_element,RF2_at_U_0.002,RF2_at_U_0.004,RF2_at_U_0.005,RF2_at_U_0.0058,RF2_at_U_0.006
H0,1376154.mmaster02,0.72760784626,0.006099999882,134.72048585210715,0.00139523053076,0.007000000216,0.002581374295833964,0.0,0.007000000216,73,71,3930,11790,0.005,0.004943904068987025,0.329593604599135,989,926,691652,88827548,0.25165394402035624,175.99287531806615,0.26681201409553335,0.5153128282403577,0.6266450398269382,0.7048419777758428,0.7214058596312123
H1,1376185.mmaster02,0.699604451656,0.005799999926,134.32775992952799,0.000280934822513,0.007000000216,0.002400487758345979,0.0,0.007000000216,73,71,12064,36192,0.0025,0.0025000000000000022,0.16666666666666682,2786,2728,928364,244467576,0.23093501326259946,76.95324933687003,0.2660197789979246,0.5136386530747322,0.6243215910260115,0.6996044461872675,0.5786360496807954
H2-PUB,1376186.mmaster02,0.696335971355,0.005799999926,134.24295131002376,0.000156695779879,0.007000000216,0.002351747550181659,0.0,0.007000000216,73,71,33852,101556,0.001,0.0010000000000000009,0.06666666666666674,7958,7843,1802776,660842080,0.23508212217889637,53.254637835283,0.2658500845820219,0.5132901447357578,0.6238409987407652,0.6963359069539661,0.4948587714713611
