elem_label,vis_elem_label,x,y,sdv15,dist_from_notch_tip,component_id,ligament_spanning,crack_extension,mean_crack_direction_deg
78688,78688,0.0175,-0.021984,0.805207,0.710826,1,False,0.710826,0.0
79803,79803,0.0405,-0.011438,0.805048,0.687538,1,False,0.687538,0.0
84126,84126,-0.0045,-0.0005,0.804645,0.710648,1,False,0.710648,0.0
84141,84141,0.0105,-0.0005,0.804634,0.700079,1,False,0.700079,0.0
76064,76064,0.1235,-0.116382,0.804565,0.722274,1,False,0.722274,0.0
81425,81425,0.0245,-0.0055,0.804146,0.693996,1,False,0.693996,0.0
83055,83055,0.0165,-0.0025,0.80375,0.697337,1,False,0.697337,0.0
79225,79225,0.0085,-0.015656,0.802662,0.712372,1,False,0.712372,0.0
76583,76583,0.0965,-0.091633,0.802128,0.716129,1,False,0.716129,0.0
79270,79270,0.0535,-0.015656,0.800276,0.682102,1,False,0.682102,0.0
76085,76085,0.1445,-0.116382,0.800173,0.711553,1,False,0.711553,0.0
82512,82512,0.0195,-0.0035,0.799951,0.695983,1,False,0.695983,0.0
83580,83580,-0.0045,-0.0015,0.79856,0.711353,1,False,0.711353,0.0
84684,84684,0.0075,0.0005,0.798054,0.701467,1,False,0.701467,0.0
77164,77164,0.1315,-0.066758,0.797655,0.676023,1,False,0.676023,0.0
76063,76063,0.1225,-0.116382,0.795782,0.722795,1,False,0.722795,0.0
80883,80883,0.0285,-0.00675,0.795297,0.692176,1,False,0.692176,0.0
76632,76632,0.1455,-0.091633,0.795201,0.68971,1,False,0.68971,0.0
81969,81969,0.0225,-0.0045,0.795097,0.694641,1,False,0.694641,0.0
80343,80343,0.0345,-0.008625,0.793995,0.689485,1,False,0.689485,0.0
83599,83599,0.0145,-0.0015,0.792631,0.698006,1,False,0.698006,0.0
77693,77693,0.1145,-0.045715,0.792176,0.668143,1,False,0.668143,0.0
84142,84142,0.0115,-0.0005,0.792157,0.69938,1,False,0.69938,0.0
81943,81943,-0.0035,-0.0045,0.791426,0.712764,1,False,0.712764,0.0
79804,79804,0.0415,-0.011438,0.791318,0.68687,1,False,0.68687,0.0
83056,83056,0.0175,-0.0025,0.790518,0.696644,1,False,0.696644,0.0
81426,81426,0.0255,-0.0055,0.789886,0.693311,1,False,0.693311,0.0
78154,78154,0.0295,-0.031477,0.78946,0.709815,1,False,0.709815,0.0
77625,77625,0.0465,-0.045715,0.788319,0.709554,1,False,0.709554,0.0
77102,77102,0.0695,-0.066758,0.786915,0.71172,1,False,0.71172,0.0
84685,84685,0.0085,0.0005,0.786648,0.700766,1,False,0.700766,0.0
76582,76582,0.0955,-0.091633,0.786565,0.716693,1,False,0.716693,0.0
85225,85225,0.0025,0.0015,0.786491,0.704279,1,False,0.704279,0.0
82513,82513,0.0205,-0.0035,0.786347,0.695293,1,False,0.695293,0.0
79765,79765,0.0025,-0.011438,0.786179,0.713495,1,False,0.713495,0.0
76062,76062,0.1215,-0.116382,0.786027,0.723318,1,False,0.723318,0.0
85224,85224,0.0015,0.0015,0.785577,0.704985,1,False,0.704985,0.0
78687,78687,0.0165,-0.021984,0.785358,0.711505,1,False,0.711505,0.0
77165,77165,0.1325,-0.066758,0.78449,0.675478,1,False,0.675478,0.0
83034,83034,-0.0045,-0.0025,0.784289,0.712058,1,False,0.712058,0.0
80308,80308,-0.0005,-0.008625,0.784129,0.713582,1,False,0.713582,0.0
85226,85226,0.0035,0.0015,0.78391,0.703573,1,False,0.703573,0.0
76086,76086,0.1455,-0.116382,0.782479,0.711054,1,False,0.711054,0.0
79224,79224,0.0075,-0.015656,0.782113,0.713062,1,False,0.713062,0.0
80884,80884,0.0295,-0.00675,0.781793,0.691495,1,False,0.691495,0.0
81970,81970,0.0235,-0.0045,0.781726,0.693954,1,False,0.693954,0.0
80344,80344,0.0355,-0.008625,0.779784,0.68881,1,False,0.68881,0.0
83600,83600,0.0155,-0.0015,0.77977,0.697311,1,False,0.697311,0.0
84143,84143,0.0125,-0.0005,0.779767,0.698682,1,False,0.698682,0.0
79805,79805,0.0425,-0.011438,0.779029,0.686203,1,False,0.686203,0.0
85227,85227,0.0045,0.0015,0.777936,0.702867,1,False,0.702867,0.0
83057,83057,0.0185,-0.0025,0.777314,0.695952,1,False,0.695952,0.0
81427,81427,0.0265,-0.0055,0.775759,0.692627,1,False,0.692627,0.0
79271,79271,0.0545,-0.015656,0.775751,0.681448,1,False,0.681448,0.0
84686,84686,0.0095,0.0005,0.775278,0.700065,1,False,0.700065,0.0
76061,76061,0.1205,-0.116382,0.775033,0.723842,1,False,0.723842,0.0
78745,78745,0.0745,-0.021984,0.775006,0.673437,1,False,0.673437,0.0
77694,77694,0.1155,-0.045715,0.773912,0.667566,1,False,0.667566,0.0
82514,82514,0.0215,-0.0035,0.772986,0.694604,1,False,0.694604,0.0
76633,76633,0.1465,-0.091633,0.772652,0.689196,1,False,0.689196,0.0
78222,78222,0.0975,-0.031477,0.771655,0.666689,1,False,0.666689,0.0
85223,85223,0.0005,0.0015,0.771598,0.705693,1,False,0.705693,0.0
77166,77166,0.1335,-0.066758,0.770573,0.674935,1,False,0.674935,0.0
85228,85228,0.0055,0.0015,0.770397,0.702163,1,False,0.702163,0.0
80885,80885,0.0305,-0.00675,0.768992,0.690815,1,False,0.690815,0.0
81971,81971,0.0245,-0.0045,0.76829,0.693268,1,False,0.693268,0.0
80852,80852,-0.0025,-0.00675,0.767844,0.713654,1,False,0.713654,0.0
78153,78153,0.0285,-0.031477,0.767679,0.710478,1,False,0.710478,0.0
79806,79806,0.0435,-0.011438,0.767677,0.685537,1,False,0.685537,0.0
84144,84144,0.0135,-0.0005,0.767461,0.697985,1,False,0.697985,0.0
83601,83601,0.0165,-0.0015,0.767022,0.696616,1,False,0.696616,0.0
80345,80345,0.0365,-0.008625,0.766994,0.688136,1,False,0.688136,0.0
78686,78686,0.0155,-0.021984,0.766952,0.712185,1,False,0.712185,0.0
76087,76087,0.1465,-0.116382,0.764348,0.710556,1,False,0.710556,0.0
83058,83058,0.0195,-0.0025,0.764176,0.69526,1,False,0.69526,0.0
84687,84687,0.0105,0.0005,0.76392,0.699364,1,False,0.699364,0.0
76581,76581,0.0945,-0.091633,0.763779,0.717258,1,False,0.717258,0.0
82488,82488,-0.0045,-0.0035,0.763397,0.712764,1,False,0.712764,0.0
76060,76060,0.1195,-0.116382,0.762519,0.724367,1,False,0.724367,0.0
85229,85229,0.0065,0.0015,0.761919,0.701459,1,False,0.701459,0.0
81428,81428,0.0275,-0.0055,0.76165,0.691944,1,False,0.691944,0.0
79223,79223,0.0065,-0.015656,0.761032,0.713753,1,False,0.713753,0.0
77624,77624,0.0455,-0.045715,0.760121,0.710194,1,False,0.710194,0.0
79764,79764,0.0015,-0.011438,0.760104,0.714192,1,False,0.714192,0.0
82515,82515,0.0225,-0.0035,0.759839,0.693915,1,False,0.693915,0.0
81397,81397,-0.0035,-0.0055,0.759806,0.713472,1,False,0.713472,0.0
77101,77101,0.0685,-0.066758,0.757408,0.712325,1,False,0.712325,0.0
79807,79807,0.0445,-0.011438,0.756831,0.684871,1,False,0.684871,0.0
80886,80886,0.0315,-0.00675,0.756525,0.690136,1,False,0.690136,0.0
77167,77167,0.1345,-0.066758,0.755799,0.674392,1,False,0.674392,0.0
84145,84145,0.0145,-0.0005,0.755241,0.697288,1,False,0.697288,0.0
79272,79272,0.0555,-0.015656,0.754817,0.680795,1,False,0.680795,0.0
81972,81972,0.0255,-0.0045,0.7548,0.692582,1,False,0.692582,0.0
83602,83602,0.0175,-0.0015,0.754361,0.695923,1,False,0.695923,0.0
85230,85230,0.0075,0.0015,0.752848,0.700756,1,False,0.700756,0.0
84688,84688,0.0115,0.0005,0.752562,0.698665,1,False,0.698665,0.0
77695,77695,0.1165,-0.045715,0.752035,0.666991,1,False,0.666991,0.0
83059,83059,0.0205,-0.0025,0.751167,0.694569,1,False,0.694569,0.0
80346,80346,0.0375,-0.008625,0.751116,0.687463,1,False,0.687463,0.0
