step,frame,step_time,u1,d_max
Step-1,0,0.0,0.0,0.0
Step-1,10,0.009999999776482582,9.999999747378752e-05,1.8027729311143048e-05
Step-1,20,0.019999999552965164,0.00019999999494757503,8.03484654170461e-05
Step-1,30,0.029999999329447746,0.0003000000142492354,0.0001871953863883391
Step-1,40,0.03999999910593033,0.00039999998989515007,0.00033858802635222673
Step-1,50,0.05000000074505806,0.0005000000237487257,0.0005345548270270228
Step-1,60,0.05999999865889549,0.0006000000284984708,0.0007751330849714577
Step-1,70,0.07000000029802322,0.000699999975040555,0.0010603689588606358
Step-1,80,0.07999999821186066,0.0007999999797903001,0.0013903183862566948
Step-1,90,0.09000000357627869,0.0008999999845400453,0.001765045220963657
Step-1,100,0.10000000149011612,0.0010000000474974513,0.0021846238523721695
Step-1,110,0.10999999940395355,0.0010999999940395355,0.0026491363532841206
Step-1,120,0.11999999731779099,0.0012000000569969416,0.003158675506711006
Step-1,130,0.12999999523162842,0.0013000000035390258,0.0037133428268134594
Step-1,140,0.14000000059604645,0.00139999995008111,0.0043132491409778595
Step-1,150,0.15000000596046448,0.001500000013038516,0.004958516452461481
Step-1,160,0.1599999964237213,0.0015999999595806003,0.005649274680763483
Step-1,170,0.17000000178813934,0.0017000000225380063,0.006385664455592632
Step-1,180,0.18000000715255737,0.0017999999690800905,0.0071678366512060165
Step-1,190,0.1899999976158142,0.0019000000320374966,0.007995952852070332
Step-1,200,0.20000000298023224,0.0020000000949949026,0.008870184421539307
Step-1,210,0.20999999344348907,0.002099999925121665,0.009790713898837566
Step-1,220,0.2199999988079071,0.002199999988079071,0.010757734067738056
Step-1,230,0.23000000417232513,0.002300000051036477,0.011771449819207191
Step-1,240,0.23999999463558197,0.002400000113993883,0.012832076288759708
Step-1,250,0.25,0.0024999999441206455,0.013939842581748962
Step-1,260,0.25999999046325684,0.0026000000070780516,0.015094987116754055
Step-1,270,0.27000001072883606,0.0027000000700354576,0.016297761350870132
Step-1,280,0.2800000011920929,0.00279999990016222,0.01754843071103096
Step-1,290,0.28999999165534973,0.002899999963119626,0.01884726993739605
Step-1,300,0.30000001192092896,0.003000000026077032,0.02019457332789898
Step-1,310,0.3100000023841858,0.003100000089034438,0.021590640768408775
Step-1,320,0.3199999928474426,0.0031999999191612005,0.023035794496536255
Step-1,330,0.33000001311302185,0.0032999999821186066,0.02453036420047283
Step-1,340,0.3400000035762787,0.0034000000450760126,0.026074698194861412
Step-1,350,0.3499999940395355,0.0035000001080334187,0.027669159695506096
Step-1,360,0.36000001430511475,0.003599999938160181,0.029314128682017326
Step-1,370,0.3700000047683716,0.003700000001117587,0.03101000003516674
Step-1,380,0.3799999952316284,0.003800000064074993,0.03275718912482262
Step-1,390,0.38999998569488525,0.0038999998942017555,0.03455612063407898
Step-1,400,0.4000000059604645,0.004000000189989805,0.036407243460416794
Step-1,410,0.4099999964237213,0.004100000020116568,0.038311030715703964
Step-1,420,0.41999998688697815,0.00419999985024333,0.04026796668767929
Step-1,430,0.4300000071525574,0.00430000014603138,0.04227856174111366
Step-1,440,0.4399999976158142,0.004399999976158142,0.04434334114193916
Step-1,450,0.44999998807907104,0.0044999998062849045,0.046462856233119965
Step-1,460,0.46000000834465027,0.004600000102072954,0.04863768443465233
Step-1,470,0.4699999988079071,0.004699999932199717,0.05086842551827431
Step-1,480,0.47999998927116394,0.004800000227987766,0.053155697882175446
Step-1,490,0.49000000953674316,0.004900000058114529,0.05550015717744827
Step-1,500,0.5,0.004999999888241291,0.05790248140692711
Step-2,100,0.009999999776482582,0.0052999998442828655,0.06568783521652222
Step-2,200,0.019999999552965164,0.00559999980032444,0.07381951808929443
Step-2,300,0.029999999329447746,0.005900000222027302,0.08252518624067307
Step-2,400,0.03999999910593033,0.006200000178068876,0.09183214604854584
Step-2,500,0.05000000074505806,0.006500000134110451,0.10177163779735565
Step-2,600,0.05999999865889549,0.006800000090152025,0.11237960308790207
Step-2,700,0.07000000029802322,0.0071000000461936,0.12369759380817413
Step-2,800,0.07999999821186066,0.007400000002235174,0.13577400147914886
Step-2,900,0.09000000357627869,0.007699999958276749,0.14866556227207184
Step-2,1000,0.10000000149011612,0.00800000037997961,0.1624394655227661
Step-2,1100,0.10999999940395355,0.008299999870359898,0.17717601358890533
Step-2,1200,0.11999999731779099,0.00860000029206276,0.19297249615192413
Step-2,1300,0.12999999523162842,0.008899999782443047,0.2099483758211136
Step-2,1400,0.14000000059604645,0.009200000204145908,0.22825299203395844
Step-2,1500,0.15000000596046448,0.009499999694526196,0.2480768859386444
Step-2,1600,0.1599999964237213,0.009800000116229057,0.26968082785606384
Step-2,1700,0.17000000178813934,0.010099999606609344,0.2934481203556061
Step-2,1800,0.18000000715255737,0.010400000028312206,0.3198235332965851
Step-2,1900,0.1899999976158142,0.010700000450015068,0.3495267927646637
Step-2,2000,0.20000000298023224,0.010999999940395355,0.38371604681015015
Step-2,2100,0.20999999344348907,0.011300000362098217,0.42448416352272034
Step-2,2200,0.2199999988079071,0.011599999852478504,0.4764537513256073
Step-2,2300,0.23000000417232513,0.011900000274181366,0.5554149150848389
Step-2,2400,0.23999999463558197,0.012199999764561653,0.9984241724014282
Step-2,2500,0.25,0.012500000186264515,1.003822684288025
Step-2,2600,0.25999999046325684,0.012799999676644802,1.0038909912109375
Step-2,2700,0.27000001072883606,0.013100000098347664,1.0038931369781494
Step-2,2800,0.2800000011920929,0.013399999588727951,1.003858208656311
Step-2,2900,0.28999999165534973,0.013700000010430813,1.0038069486618042
Step-2,3000,0.30000001192092896,0.014000000432133675,1.0037583112716675
Step-2,3100,0.3100000023841858,0.014299999922513962,1.0037013292312622
Step-2,3200,0.3199999928474426,0.014600000344216824,1.003631591796875
Step-2,3300,0.33000001311302185,0.01489999983459711,1.0035308599472046
Step-2,3400,0.3400000035762787,0.015200000256299973,1.0034568309783936
Step-2,3500,0.3499999940395355,0.01549999974668026,1.0033899545669556
Step-2,3600,0.36000001430511475,0.015799999237060547,1.0033221244812012
Step-2,3700,0.3700000047683716,0.016100000590085983,1.0032505989074707
Step-2,3800,0.3799999952316284,0.01640000008046627,1.003166675567627
Step-2,3900,0.38999998569488525,0.016699999570846558,1.0033342838287354
Step-2,4000,0.4000000059604645,0.017000000923871994,1.0036042928695679
Step-2,4100,0.4099999964237213,0.01730000041425228,1.0037479400634766
Step-2,4200,0.41999998688697815,0.01759999990463257,1.0038585662841797
Step-2,4300,0.4300000071525574,0.017899999395012856,1.0039138793945312
Step-2,4400,0.4399999976158142,0.018200000748038292,1.003922939300537
Step-2,4500,0.44999998807907104,0.01850000023841858,1.0039734840393066
Step-2,4600,0.46000000834465027,0.018799999728798866,1.0039957761764526
