element,phase_variable,phase_value,threshold,step,frame
27024,SDV15,0.5451379418373108,0.5,Step-2,140
27025,SDV15,0.6054935455322266,0.5,Step-2,140
27026,SDV15,0.6797364354133606,0.5,Step-2,140
27027,SDV15,0.7698631286621094,0.5,Step-2,140
27028,SDV15,0.8171817660331726,0.5,Step-2,140
27029,SDV15,0.8288441896438599,0.5,Step-2,140
27030,SDV15,0.8351521492004395,0.5,Step-2,140
27031,SDV15,0.840674102306366,0.5,Step-2,140
27032,SDV15,0.845500648021698,0.5,Step-2,140
27033,SDV15,0.8499873876571655,0.5,Step-2,140
27034,SDV15,0.8542174100875854,0.5,Step-2,140
27035,SDV15,0.8582059144973755,0.5,Step-2,140
27036,SDV15,0.8619559407234192,0.5,Step-2,140
27037,SDV15,0.8654660582542419,0.5,Step-2,140
27038,SDV15,0.8687335252761841,0.5,Step-2,140
27039,SDV15,0.8717560172080994,0.5,Step-2,140
27040,SDV15,0.874531626701355,0.5,Step-2,140
27041,SDV15,0.877065896987915,0.5,Step-2,140
27042,SDV15,0.87936931848526,0.5,Step-2,140
27043,SDV15,0.8814519047737122,0.5,Step-2,140
27044,SDV15,0.8833222985267639,0.5,Step-2,140
27045,SDV15,0.8849884271621704,0.5,Step-2,140
27046,SDV15,0.8864574432373047,0.5,Step-2,140
27047,SDV15,0.8877352476119995,0.5,Step-2,140
27048,SDV15,0.888826847076416,0.5,Step-2,140
27049,SDV15,0.8897363543510437,0.5,Step-2,140
27050,SDV15,0.8904672265052795,0.5,Step-2,140
27051,SDV15,0.8910225033760071,0.5,Step-2,140
27052,SDV15,0.8914047479629517,0.5,Step-2,140
27053,SDV15,0.8916161060333252,0.5,Step-2,140
27054,SDV15,0.8916592001914978,0.5,Step-2,140
27055,SDV15,0.8916276693344116,0.5,Step-2,140
27056,SDV15,0.8914371132850647,0.5,Step-2,140
27057,SDV15,0.8910872340202332,0.5,Step-2,140
27058,SDV15,0.8905829787254333,0.5,Step-2,140
27059,SDV15,0.8899301290512085,0.5,Step-2,140
27060,SDV15,0.8891348242759705,0.5,Step-2,140
27061,SDV15,0.8882036209106445,0.5,Step-2,140
27062,SDV15,0.8871434330940247,0.5,Step-2,140
27063,SDV15,0.8859609365463257,0.5,Step-2,140
27064,SDV15,0.884662389755249,0.5,Step-2,140
27065,SDV15,0.8832536935806274,0.5,Step-2,140
27066,SDV15,0.8817396759986877,0.5,Step-2,140
27067,SDV15,0.8801239728927612,0.5,Step-2,140
27068,SDV15,0.8784087896347046,0.5,Step-2,140
27069,SDV15,0.8765944242477417,0.5,Step-2,140
27070,SDV15,0.8746791481971741,0.5,Step-2,140
27071,SDV15,0.8726587295532227,0.5,Step-2,140
27072,SDV15,0.870525598526001,0.5,Step-2,140
27073,SDV15,0.8682677745819092,0.5,Step-2,140
27074,SDV15,0.8658663630485535,0.5,Step-2,140
27075,SDV15,0.8632906675338745,0.5,Step-2,140
27076,SDV15,0.8604875802993774,0.5,Step-2,140
27077,SDV15,0.8573624491691589,0.5,Step-2,140
27078,SDV15,0.8537431359291077,0.5,Step-2,140
27079,SDV15,0.8493223190307617,0.5,Step-2,140
27080,SDV15,0.84357750415802,0.5,Step-2,140
27081,SDV15,0.8356903791427612,0.5,Step-2,140
27082,SDV15,0.8245247602462769,0.5,Step-2,140
27083,SDV15,0.8087495565414429,0.5,Step-2,140
27084,SDV15,0.7871698141098022,0.5,Step-2,140
27085,SDV15,0.7592452764511108,0.5,Step-2,140
27086,SDV15,0.7254102826118469,0.5,Step-2,140
27087,SDV15,0.6868444681167603,0.5,Step-2,140
27088,SDV15,0.6449968814849854,0.5,Step-2,140
27089,SDV15,0.6012631058692932,0.5,Step-2,140
27090,SDV15,0.556842029094696,0.5,Step-2,140
27091,SDV15,0.5126951336860657,0.5,Step-2,140
27241,SDV15,0.5364813804626465,0.5,Step-2,140
27242,SDV15,0.6052778959274292,0.5,Step-2,140
27243,SDV15,0.6878397464752197,0.5,Step-2,140
27244,SDV15,0.7855305075645447,0.5,Step-2,140
27245,SDV15,0.8283975720405579,0.5,Step-2,140
27246,SDV15,0.8377916216850281,0.5,Step-2,140
27247,SDV15,0.8446536064147949,0.5,Step-2,140
27248,SDV15,0.8515251874923706,0.5,Step-2,140
27249,SDV15,0.8582265973091125,0.5,Step-2,140
27250,SDV15,0.8650814890861511,0.5,Step-2,140
27251,SDV15,0.8722516894340515,0.5,Step-2,140
27252,SDV15,0.8799193501472473,0.5,Step-2,140
27253,SDV15,0.8883262276649475,0.5,Step-2,140
27254,SDV15,0.8978001475334167,0.5,Step-2,140
27255,SDV15,0.9087979793548584,0.5,Step-2,140
27256,SDV15,0.9219980239868164,0.5,Step-2,140
27257,SDV15,0.9385886788368225,0.5,Step-2,140
27258,SDV15,0.9601216316223145,0.5,Step-2,140
27259,SDV15,0.9887431859970093,0.5,Step-2,140
27260,SDV15,1.001922845840454,0.5,Step-2,140
27261,SDV15,1.0028529167175293,0.5,Step-2,140
27262,SDV15,0.9988273978233337,0.5,Step-2,140
27263,SDV15,0.9959808588027954,0.5,Step-2,140
27264,SDV15,0.9950286149978638,0.5,Step-2,140
27265,SDV15,0.9944288730621338,0.5,Step-2,140
27266,SDV15,0.9939001798629761,0.5,Step-2,140
27267,SDV15,0.9937949180603027,0.5,Step-2,140
27268,SDV15,0.9938182234764099,0.5,Step-2,140
27269,SDV15,0.9938212633132935,0.5,Step-2,140
27270,SDV15,0.9938142895698547,0.5,Step-2,140
27271,SDV15,0.9937896132469177,0.5,Step-2,140
27272,SDV15,0.9937474131584167,0.5,Step-2,140
27273,SDV15,0.993686854839325,0.5,Step-2,140
27274,SDV15,0.9936087727546692,0.5,Step-2,140
27275,SDV15,0.9935142397880554,0.5,Step-2,140
27276,SDV15,0.9934031367301941,0.5,Step-2,140
27277,SDV15,0.9932748079299927,0.5,Step-2,140
27278,SDV15,0.99312824010849,0.5,Step-2,140
27279,SDV15,0.9929623007774353,0.5,Step-2,140
27280,SDV15,0.9927756786346436,0.5,Step-2,140
27281,SDV15,0.9925670027732849,0.5,Step-2,140
27282,SDV15,0.9923346042633057,0.5,Step-2,140
27283,SDV15,0.9920768737792969,0.5,Step-2,140
27284,SDV15,0.9917920231819153,0.5,Step-2,140
27285,SDV15,0.9914780855178833,0.5,Step-2,140
27286,SDV15,0.9911328554153442,0.5,Step-2,140
27287,SDV15,0.9907541871070862,0.5,Step-2,140
27288,SDV15,0.990339994430542,0.5,Step-2,140
27289,SDV15,0.989888072013855,0.5,Step-2,140
27290,SDV15,0.9893962144851685,0.5,Step-2,140
27291,SDV15,0.9888620376586914,0.5,Step-2,140
27292,SDV15,0.9882827997207642,0.5,Step-2,140
27293,SDV15,0.9876556992530823,0.5,Step-2,140
27294,SDV15,0.9869773983955383,0.5,Step-2,140
27295,SDV15,0.9862440824508667,0.5,Step-2,140
27296,SDV15,0.9854515194892883,0.5,Step-2,140
27297,SDV15,0.9845946431159973,0.5,Step-2,140
27298,SDV15,0.9836677312850952,0.5,Step-2,140
27299,SDV15,0.982664167881012,0.5,Step-2,140
27300,SDV15,0.9815762042999268,0.5,Step-2,140
27301,SDV15,0.9803948402404785,0.5,Step-2,140
27302,SDV15,0.9791096448898315,0.5,Step-2,140
27303,SDV15,0.9777082204818726,0.5,Step-2,140
