step,step_time,variable,value
Step-1,0.11599999666213989,ALLAE,0.0
Step-1,0.11699999868869781,ALLAE,0.0
Step-1,0.11800000071525574,ALLAE,0.0
Step-1,0.11900000274181366,ALLAE,0.0
Step-1,0.11999999731779099,ALLAE,0.0
Step-1,0.12099999934434891,ALLAE,0.0
Step-1,0.12200000137090683,ALLAE,0.0
Step-1,0.12300000339746475,ALLAE,0.0
Step-1,0.12399999797344208,ALLAE,0.0
Step-1,0.125,ALLAE,0.0
Step-1,0.12600000202655792,ALLAE,0.0
Step-1,0.12700000405311584,ALLAE,0.0
Step-1,0.12800000607967377,ALLAE,0.0
Step-1,0.1289999932050705,ALLAE,0.0
Step-1,0.12999999523162842,ALLAE,0.0
Step-1,0.13099999725818634,ALLAE,0.0
Step-1,0.13199999928474426,ALLAE,0.0
Step-1,0.13300000131130219,ALLAE,0.0
Step-1,0.1340000033378601,ALLAE,0.0
Step-1,0.13500000536441803,ALLAE,0.0
Step-1,0.13600000739097595,ALLAE,0.0
Step-1,0.13699999451637268,ALLAE,0.0
Step-1,0.1379999965429306,ALLAE,0.0
Step-1,0.13899999856948853,ALLAE,0.0
Step-1,0.14000000059604645,ALLAE,0.0
Step-1,0.14100000262260437,ALLAE,0.0
Step-1,0.1420000046491623,ALLAE,0.0
Step-1,0.14300000667572021,ALLAE,0.0
Step-1,0.14399999380111694,ALLAE,0.0
Step-1,0.14499999582767487,ALLAE,0.0
Step-1,0.1459999978542328,ALLAE,0.0
Step-1,0.1469999998807907,ALLAE,0.0
Step-1,0.14800000190734863,ALLAE,0.0
Step-1,0.14900000393390656,ALLAE,0.0
Step-1,0.15000000596046448,ALLAE,0.0
Step-1,0.1509999930858612,ALLAE,0.0
Step-1,0.15199999511241913,ALLAE,0.0
Step-1,0.15299999713897705,ALLAE,0.0
Step-1,0.15399999916553497,ALLAE,0.0
Step-1,0.1550000011920929,ALLAE,0.0
Step-1,0.15600000321865082,ALLAE,0.0
Step-1,0.15700000524520874,ALLAE,0.0
Step-1,0.15800000727176666,ALLAE,0.0
Step-1,0.1589999943971634,ALLAE,0.0
Step-1,0.1599999964237213,ALLAE,0.0
Step-1,0.16099999845027924,ALLAE,0.0
Step-1,0.16200000047683716,ALLAE,0.0
Step-1,0.16300000250339508,ALLAE,0.0
Step-1,0.164000004529953,ALLAE,0.0
Step-1,0.16500000655651093,ALLAE,0.0
Step-1,0.16599999368190765,ALLAE,0.0
Step-1,0.16699999570846558,ALLAE,0.0
Step-1,0.1679999977350235,ALLAE,0.0
Step-1,0.16899999976158142,ALLAE,0.0
Step-1,0.17000000178813934,ALLAE,0.0
Step-1,0.17100000381469727,ALLAE,0.0
Step-1,0.1720000058412552,ALLAE,0.0
Step-1,0.17299999296665192,ALLAE,0.0
Step-1,0.17399999499320984,ALLAE,0.0
Step-1,0.17499999701976776,ALLAE,0.0
Step-1,0.17599999904632568,ALLAE,0.0
Step-1,0.1770000010728836,ALLAE,0.0
Step-1,0.17800000309944153,ALLAE,0.0
Step-1,0.17900000512599945,ALLAE,0.0
Step-1,0.18000000715255737,ALLAE,0.0
Step-1,0.1809999942779541,ALLAE,0.0
Step-1,0.18199999630451202,ALLAE,0.0
Step-1,0.18299999833106995,ALLAE,0.0
Step-1,0.18400000035762787,ALLAE,0.0
Step-1,0.1850000023841858,ALLAE,0.0
Step-1,0.1860000044107437,ALLAE,0.0
Step-1,0.18700000643730164,ALLAE,0.0
Step-1,0.18799999356269836,ALLAE,0.0
Step-1,0.1889999955892563,ALLAE,0.0
Step-1,0.1899999976158142,ALLAE,0.0
Step-1,0.19099999964237213,ALLAE,0.0
Step-1,0.19200000166893005,ALLAE,0.0
Step-1,0.19300000369548798,ALLAE,0.0
Step-1,0.1940000057220459,ALLAE,0.0
Step-1,0.19499999284744263,ALLAE,0.0
Step-1,0.19599999487400055,ALLAE,0.0
Step-1,0.19699999690055847,ALLAE,0.0
Step-1,0.1979999989271164,ALLAE,0.0
Step-1,0.19900000095367432,ALLAE,0.0
Step-1,0.20000000298023224,ALLAE,0.0
Step-1,0.20100000500679016,ALLAE,0.0
Step-1,0.20200000703334808,ALLAE,0.0
Step-1,0.2029999941587448,ALLAE,0.0
Step-1,0.20399999618530273,ALLAE,0.0
Step-1,0.20499999821186066,ALLAE,0.0
Step-1,0.20600000023841858,ALLAE,0.0
Step-1,0.2070000022649765,ALLAE,0.0
Step-1,0.20800000429153442,ALLAE,0.0
Step-1,0.20900000631809235,ALLAE,0.0
Step-1,0.20999999344348907,ALLAE,0.0
Step-1,0.210999995470047,ALLAE,0.0
Step-1,0.21199999749660492,ALLAE,0.0
Step-1,0.21299999952316284,ALLAE,0.0
Step-1,0.21400000154972076,ALLAE,0.0
Step-1,0.2150000035762787,ALLAE,0.0
Step-1,0.2160000056028366,ALLAE,0.0
Step-1,0.21699999272823334,ALLAE,0.0
Step-1,0.21799999475479126,ALLAE,0.0
Step-1,0.21899999678134918,ALLAE,0.0
Step-1,0.2199999988079071,ALLAE,0.0
Step-1,0.22100000083446503,ALLAE,0.0
Step-1,0.22200000286102295,ALLAE,0.0
Step-1,0.22300000488758087,ALLAE,0.0
Step-1,0.2240000069141388,ALLAE,0.0
Step-1,0.22499999403953552,ALLAE,0.0
Step-1,0.22599999606609344,ALLAE,0.0
Step-1,0.22699999809265137,ALLAE,0.0
Step-1,0.2280000001192093,ALLAE,0.0
Step-1,0.2290000021457672,ALLAE,0.0
Step-1,0.23000000417232513,ALLAE,0.0
Step-1,0.23100000619888306,ALLAE,0.0
Step-1,0.23199999332427979,ALLAE,0.0
Step-1,0.2329999953508377,ALLAE,0.0
Step-1,0.23399999737739563,ALLAE,0.0
Step-1,0.23499999940395355,ALLAE,0.0
Step-1,0.23600000143051147,ALLAE,0.0
Step-1,0.2370000034570694,ALLAE,0.0
Step-1,0.23800000548362732,ALLAE,0.0
Step-1,0.23899999260902405,ALLAE,0.0
Step-1,0.23999999463558197,ALLAE,0.0
Step-1,0.2409999966621399,ALLAE,0.0
Step-1,0.24199999868869781,ALLAE,0.0
Step-1,0.24300000071525574,ALLAE,0.0
Step-1,0.24400000274181366,ALLAE,0.0
Step-1,0.24500000476837158,ALLAE,0.0
Step-1,0.2460000067949295,ALLAE,0.0
Step-1,0.24699999392032623,ALLAE,0.0
Step-1,0.24799999594688416,ALLAE,0.0
Step-1,0.24899999797344208,ALLAE,0.0
Step-1,0.25,ALLAE,0.0
Step-1,0.25099998712539673,ALLAE,0.0
Step-1,0.25200000405311584,ALLAE,0.0
Step-1,0.2529999911785126,ALLAE,0.0
Step-1,0.2540000081062317,ALLAE,0.0
Step-1,0.2549999952316284,ALLAE,0.0
Step-1,0.25600001215934753,ALLAE,0.0
Step-1,0.25699999928474426,ALLAE,0.0
Step-1,0.257999986410141,ALLAE,0.0
Step-1,0.2590000033378601,ALLAE,0.0
Step-1,0.25999999046325684,ALLAE,0.0
Step-1,0.26100000739097595,ALLAE,0.0
Step-1,0.2619999945163727,ALLAE,0.0
Step-1,0.2630000114440918,ALLAE,0.0
Step-1,0.2639999985694885,ALLAE,0.0
Step-1,0.26499998569488525,ALLAE,0.0
Step-1,0.26600000262260437,ALLAE,0.0
Step-1,0.2669999897480011,ALLAE,0.0
Step-1,0.2680000066757202,ALLAE,0.0
Step-1,0.26899999380111694,ALLAE,0.0
Step-1,0.27000001072883606,ALLAE,0.0
Step-1,0.2709999978542328,ALLAE,0.0
Step-1,0.2720000147819519,ALLAE,0.0
Step-1,0.27300000190734863,ALLAE,0.0
Step-1,0.27399998903274536,ALLAE,0.0
Step-1,0.2750000059604645,ALLAE,0.0
Step-1,0.2759999930858612,ALLAE,0.0
Step-1,0.2770000100135803,ALLAE,0.0
Step-1,0.27799999713897705,ALLAE,0.0
Step-1,0.27900001406669617,ALLAE,0.0
Step-1,0.2800000011920929,ALLAE,0.0
Step-1,0.2809999883174896,ALLAE,0.0
Step-1,0.28200000524520874,ALLAE,0.0
Step-1,0.28299999237060547,ALLAE,0.0
Step-1,0.2840000092983246,ALLAE,0.0
Step-1,0.2849999964237213,ALLAE,0.0
Step-1,0.28600001335144043,ALLAE,0.0
Step-1,0.28700000047683716,ALLAE,0.0
Step-1,0.2879999876022339,ALLAE,0.0
Step-1,0.289000004529953,ALLAE,0.0
Step-1,0.28999999165534973,ALLAE,0.0
Step-1,0.29100000858306885,ALLAE,0.0
Step-1,0.2919999957084656,ALLAE,0.0
Step-1,0.2930000126361847,ALLAE,0.0
Step-1,0.2939999997615814,ALLAE,0.0
Step-1,0.29499998688697815,ALLAE,0.0
Step-1,0.29600000381469727,ALLAE,0.0
Step-1,0.296999990940094,ALLAE,0.0
Step-1,0.2980000078678131,ALLAE,0.0
Step-1,0.29899999499320984,ALLAE,0.0
Step-1,0.30000001192092896,ALLAE,0.0
Step-1,0.3009999990463257,ALLAE,0.0
Step-1,0.3019999861717224,ALLAE,0.0
Step-1,0.30300000309944153,ALLAE,0.0
Step-1,0.30399999022483826,ALLAE,0.0
Step-1,0.3050000071525574,ALLAE,0.0
Step-1,0.3059999942779541,ALLAE,0.0
Step-1,0.3070000112056732,ALLAE,0.0
Step-1,0.30799999833106995,ALLAE,0.0
Step-1,0.3089999854564667,ALLAE,0.0
Step-1,0.3100000023841858,ALLAE,0.0
Step-1,0.3109999895095825,ALLAE,0.0
Step-1,0.31200000643730164,ALLAE,0.0
Step-1,0.31299999356269836,ALLAE,0.0
Step-1,0.3140000104904175,ALLAE,0.0
Step-1,0.3149999976158142,ALLAE,0.0
Step-1,0.3160000145435333,ALLAE,0.0
Step-1,0.31700000166893005,ALLAE,0.0
Step-1,0.3179999887943268,ALLAE,0.0
Step-1,0.3190000057220459,ALLAE,0.0
Step-1,0.3199999928474426,ALLAE,0.0
Step-1,0.32100000977516174,ALLAE,0.0
Step-1,0.32199999690055847,ALLAE,0.0
Step-1,0.3230000138282776,ALLAE,0.0
Step-1,0.3240000009536743,ALLAE,0.0
Step-1,0.32499998807907104,ALLAE,0.0
Step-1,0.32600000500679016,ALLAE,0.0
Step-1,0.3269999921321869,ALLAE,0.0
Step-1,0.328000009059906,ALLAE,0.0
Step-1,0.32899999618530273,ALLAE,0.0
Step-1,0.33000001311302185,ALLAE,0.0
Step-1,0.3310000002384186,ALLAE,0.0
Step-1,0.3319999873638153,ALLAE,0.0
