step,frame,step_time,target_abs_u,rp_u1,rp_rf1,element,integration_point,sdv14,sdv15,sdv16
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10074,1,0.006399698555469513,0.006425906904041767,0.0005773453158326447
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10074,2,0.006247586105018854,0.006273167673498392,0.0005738365580327809
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10074,3,0.006417409982532263,0.006443690974265337,0.0005782374064438045
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10074,4,0.006265345495194197,0.006290999706834555,0.0005747180548496544
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10075,1,0.005743694491684437,0.005767201539129019,0.000526315183378756
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10075,2,0.005893089808523655,0.005917211063206196,0.0005295791197568178
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10075,3,0.005726221948862076,0.005749657284468412,0.0005254123825579882
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10075,4,0.005875719711184502,0.005899770185351372,0.0005286642699502409
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10076,1,0.006003120914101601,0.006027695257216692,0.0005504131549969316
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10076,2,0.006154337432235479,0.006179533898830414,0.0005538021214306355
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10076,3,0.00598569493740797,0.006010197568684816,0.0005495216464623809
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10076,4,0.006136654410511255,0.006161778699606657,0.0005529074114747345
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10077,1,0.005361241288483143,0.0053831771947443485,0.0004809023521374911
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10077,2,0.0052146525122225285,0.0052359867841005325,0.0004778870497830212
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10077,3,0.005378649570047855,0.005400656256824732,0.0004818624584004283
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10077,4,0.005232145544141531,0.005253551062196493,0.00047883426304906607
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10078,1,0.00510787358507514,0.0051287696696817875,0.00045740758650936186
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10078,2,0.004962738137692213,0.004983038641512394,0.0004544990079011768
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10078,3,0.0051252832636237144,0.005146250128746033,0.0004583671980071813
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10078,4,0.004979833494871855,0.005000203847885132,0.00045545437023974955
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10079,1,0.005137357395142317,0.005158372689038515,0.00046004526666365564
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10079,2,0.0049917069263756275,0.005012125242501497,0.00045713683357462287
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10079,3,0.005152934696525335,0.00517401285469532,0.00046099626342765987
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10079,4,0.00500705000013113,0.005027529783546925,0.00045808355207554996
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10080,1,0.004512227140367031,0.0045306789688766,0.0004121186211705208
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10080,2,0.004653701093047857,0.004672732204198837,0.00041480091749690473
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10080,3,0.004496800247579813,0.00451519014313817,0.0004111515881959349
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10080,4,0.004638420417904854,0.0046573905274271965,0.00041382096242159605
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10081,1,0.00460959505289793,0.004628448281437159,0.0004112136084586382
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10081,2,0.004468059632927179,0.00448633311316371,0.00040851556695997715
