source_file,step,frame,target_abs_u2,rp_u2,phase_threshold,damaged_element_count,connected_component_count,connected,crack_initiation_x,crack_initiation_y,crack_extension,max_vertical_deviation,mean_path_deviation,approximately_horizontal,reference_path
matched_state_01_Step-1_frame_0040_contour_sdv14_sdv15_sdv16.csv,Step-1,40,0.002,0.0020000000949949026,0.95,0,,False,,,0.0,,,,qualitative horizontal ligament y=0
matched_state_02_Step-1_frame_0100_contour_sdv14_sdv15_sdv16.csv,Step-1,100,0.005,0.004999999888241291,0.95,0,,False,,,0.0,,,,qualitative horizontal ligament y=0
matched_state_03_Step-2_frame_0058_contour_sdv14_sdv15_sdv16.csv,Step-2,58,0.006,0.0059899999760091305,0.95,0,,False,,,0.0,,,,qualitative horizontal ligament y=0
matched_state_04_Step-2_frame_0100_contour_sdv14_sdv15_sdv16.csv,Step-2,100,0.0067,0.0066999997943639755,0.95,193,193,True,-0.0005,0.0005,0.0505,0.0015000006999999998,0.0009663214955958555,True,qualitative horizontal ligament y=0
