node,x,y,phase_d,source
1,0.5,0.0,0.0,U
1,0.5,0.0,-0.001045523677021265,U
1,0.5,0.0,0.0,U
2,0.0,0.0,-0.0008057815721258521,U
3,-0.5,-4.999999873689376e-05,-0.0005120231071487069,U
4,-0.5,-0.5,0.0,U
5,0.5,-0.5,-0.0008445702842436731,U
6,0.5,0.5,-0.0008457379881292582,U
7,-0.5,0.5,-0.0,U
8,-0.5,4.999999873689376e-05,-0.0005139512941241264,U
9,0.49504950642585754,0.0,-0.0010401994222775102,U
10,0.4900990128517151,0.0,-0.001034804037772119,U
11,0.48514851927757263,0.0,-0.0010293748928233981,U
12,0.4801980257034302,0.0,-0.0010239160619676113,U
13,0.4752475321292877,0.0,-0.0010184316197410226,U
14,0.47029703855514526,0.0,-0.0010129209840670228,U
15,0.4653465449810028,0.0,-0.0010073896264657378,U
16,0.46039605140686035,0.0,-0.0010018408065661788,U
17,0.4554455578327179,0.0,-0.0009962795302271843,U
18,0.45049506425857544,0.0,-0.0009907109197229147,U
19,0.4455445408821106,0.0,-0.0009851391660049558,U
20,0.44059404730796814,0.0,-0.0009795674122869968,U
21,0.4356435537338257,0.0,-0.0009739981614984572,U
22,0.4306930601596832,0.0,-0.0009684338583610952,U
23,0.42574256658554077,0.0,-0.0009628771222196519,U
24,0.4207920730113983,0.0,-0.0009573307470418513,U
25,0.41584157943725586,0.0,-0.0009517971775494516,U
26,0.4108910858631134,0.0,-0.0009462789166718721,U
27,0.40594059228897095,0.0,-0.0009407780016772449,U
28,0.4009900987148285,0.0,-0.0009352966444566846,U
29,0.39603960514068604,0.0,-0.0009298371151089668,U
30,0.3910891115665436,0.0,-0.0009244015673175454,U
31,0.3861386179924011,0.0,-0.0009189922129735351,U
32,0.38118812441825867,0.0,-0.0009136110893450677,U
33,0.3762376308441162,0.0,-0.0009082601754926145,U
34,0.37128713726997375,0.0,-0.0009029413340613246,U
35,0.3663366436958313,0.0,-0.0008976564276963472,U
36,0.36138615012168884,0.0,-0.0008924072026275098,U
37,0.3564356565475464,0.0,-0.0008871954050846398,U
38,0.35148516297340393,0.0,-0.0008820228395052254,U
39,0.3465346395969391,0.0,-0.0008768910774961114,U
40,0.34158414602279663,0.0,-0.000871801923494786,U
41,0.3366336524486542,0.0,-0.0008667570073157549,U
42,0.3316831588745117,0.0,-0.0008617578423582017,U
43,0.32673266530036926,0.0,-0.0008568060584366322,U
44,0.3217821717262268,0.0,-0.0008519031689502299,U
45,0.31683167815208435,0.0,-0.0008470507455058396,U
46,0.3118811845779419,0.0,-0.000842250301502645,U
47,0.30693069100379944,0.0,-0.0008375033503398299,U
48,0.301980197429657,0.0,-0.0008328113472089171,U
49,0.2970297038555145,0.0,-0.0008281758637167513,U
50,0.29207921028137207,0.0,-0.0008235984714701772,U
51,0.2871287167072296,0.0,-0.0008190805674530566,U
52,0.28217822313308716,0.0,-0.0008146236650645733,U
53,0.2772277295589447,0.0,-0.0008102293941192329,U
54,0.27227723598480225,0.0,-0.00080589932622388,U
55,0.2673267424106598,0.0,-0.0008016349747776985,U
56,0.26237624883651733,0.0,-0.000797437911387533,U
57,0.2574257552623749,0.0,-0.0007933098822832108,U
58,0.2524752616882324,0.0,-0.0007892524008639157,U
59,0.24752475321292877,0.0,-0.000785267271567136,U
60,0.24257425963878632,0.0,-0.0007813562406226993,U
61,0.23762376606464386,0.0,-0.0007775211124680936,U
62,0.2326732724905014,0.0,-0.0007737636915408075,U
63,0.22772277891635895,0.0,-0.0007700859569013119,U
