element,integration_point,x,y,H
1,1,0.49137624353170395,-0.0036304780514910817,0.0007403814233839512
1,2,0.49137624353170395,-0.0036304780514910817,0.0007371745305135846
1,3,0.49137624353170395,-0.0036304780514910817,0.0007341707241721451
1,4,0.49137624353170395,-0.0036304780514910817,0.0007314932299777865
2,1,0.4676136448979378,-0.00354233430698514,0.0007846363005228341
2,2,0.4676136448979378,-0.00354233430698514,0.0007850361871533096
2,3,0.4676136448979378,-0.00354233430698514,0.000789760728366673
2,4,0.4676136448979378,-0.00354233430698514,0.0007902366924099624
3,1,0.4592261090874672,-0.12695098854601383,0.0008801434305496514
3,2,0.4592261090874672,-0.12695098854601383,0.0008881432586349547
3,3,0.4592261090874672,-0.12695098854601383,0.0008742566569708288
3,4,0.4592261090874672,-0.12695098854601383,0.0008846417767927051
4,1,0.45268892496824265,-0.21165737882256508,0.000997614348307252
4,2,0.45268892496824265,-0.21165737882256508,0.0009971843101084232
4,3,0.45268892496824265,-0.21165737882256508,0.000997680239379406
4,4,0.45268892496824265,-0.21165737882256508,0.0009972973493859172
5,1,0.48186057060956955,-0.25063831359148026,0.0010564577532932162
5,2,0.48186057060956955,-0.25063831359148026,0.0010449645342305303
5,3,0.48186057060956955,-0.25063831359148026,0.0010570171289145947
5,4,0.48186057060956955,-0.25063831359148026,0.0010465922532603145
6,1,0.44985780864953995,-0.331746369600296,0.0011577558470889926
6,2,0.44985780864953995,-0.331746369600296,0.0011387551203370094
6,3,0.44985780864953995,-0.331746369600296,0.0011592174414545298
6,4,0.44985780864953995,-0.331746369600296,0.0011418418725952506
7,1,0.48245374858379364,-0.3665578216314316,0.0012439010897651315
7,2,0.48245374858379364,-0.3665578216314316,0.0012101534521207213
7,3,0.48245374858379364,-0.3665578216314316,0.0012444898020476103
7,4,0.48245374858379364,-0.3665578216314316,0.0012117251753807068
8,1,0.48168646544218063,-0.404631070792675,0.0012449220521375537
8,2,0.48168646544218063,-0.404631070792675,0.001286107930354774
8,3,0.48168646544218063,-0.404631070792675,0.0012432958465069532
8,4,0.48168646544218063,-0.404631070792675,0.0012855137465521693
9,1,0.48032620549201965,-0.48093975335359573,0.00132750254124403
9,2,0.48032620549201965,-0.48093975335359573,0.0012759597739204764
9,3,0.48032620549201965,-0.48093975335359573,0.0013279173290356994
9,4,0.48032620549201965,-0.48093975335359573,0.0012773675844073296
10,1,0.4283537417650223,-0.002471009036526084,0.0008393871830776334
10,2,0.4283537417650223,-0.002471009036526084,0.0008392501040361822
10,3,0.4283537417650223,-0.002471009036526084,0.000842180335894227
10,4,0.4283537417650223,-0.002471009036526084,0.0008420175290666521
11,1,0.4217192679643631,-0.05980958882719278,0.000862794928252697
11,2,0.4217192679643631,-0.05980958882719278,0.0008659294690005481
11,3,0.4217192679643631,-0.05980958882719278,0.0008624347392469645
11,4,0.4217192679643631,-0.05980958882719278,0.0008652983815409243
12,1,0.422455370426178,-0.16359704732894897,0.0009528430528007448
12,2,0.422455370426178,-0.16359704732894897,0.000942239654250443
12,3,0.422455370426178,-0.16359704732894897,0.0009734777850098908
12,4,0.422455370426178,-0.16359704732894897,0.0009577808668836951
13,1,0.4227288290858269,-0.20825395360589027,0.001014801673591137
13,2,0.4227288290858269,-0.20825395360589027,0.0010120838414877653
13,3,0.4227288290858269,-0.20825395360589027,0.001006690552458167
13,4,0.4227288290858269,-0.20825395360589027,0.0010020678164437413
14,1,0.3801627978682518,-0.2609855830669403,0.001079062931239605
14,2,0.3801627978682518,-0.2609855830669403,0.001078027649782598
14,3,0.3801627978682518,-0.2609855830669403,0.0010761874727904797
14,4,0.3801627978682518,-0.2609855830669403,0.001075117033906281
15,1,0.41731300204992294,-0.3308790251612663,0.0011182844173163176
15,2,0.41731300204992294,-0.3308790251612663,0.001125549548305571
15,3,0.41731300204992294,-0.3308790251612663,0.0011366707039996982
15,4,0.41731300204992294,-0.3308790251612663,0.0011413480388000607
16,1,0.41078101843595505,-0.3670813888311386,0.0011414838954806328
16,2,0.41078101843595505,-0.3670813888311386,0.0011437329230830073
16,3,0.41078101843595505,-0.3670813888311386,0.001158466562628746
16,4,0.41078101843595505,-0.3670813888311386,0.001160913147032261
17,1,0.4446290582418442,-0.4055698961019516,0.001219998812302947
17,2,0.4446290582418442,-0.4055698961019516,0.001189709291793406
17,3,0.4446290582418442,-0.4055698961019516,0.0012219513300806284
17,4,0.4446290582418442,-0.4055698961019516,0.0011924736900255084
18,1,0.36047955602407455,-0.48035552352666855,0.0011518485844135284
18,2,0.36047955602407455,-0.48035552352666855,0.0011511538177728653
18,3,0.36047955602407455,-0.48035552352666855,0.0011343704536557198
18,4,0.36047955602407455,-0.48035552352666855,0.001133973360992968
19,1,0.4008484110236168,-0.4807678610086441,0.00116548512596637
19,2,0.4008484110236168,-0.4807678610086441,0.0011665752390399575
19,3,0.4008484110236168,-0.4807678610086441,0.0011890910100191832
19,4,0.4008484110236168,-0.4807678610086441,0.0011903082486242056
20,1,0.3614055961370468,-0.4406895264983177,0.0011323986109346151
20,2,0.3614055961370468,-0.4406895264983177,0.0011496698716655374
20,3,0.3614055961370468,-0.4406895264983177,0.0011320228222757578
20,4,0.3614055961370468,-0.4406895264983177,0.0011483688140287995
