node,x,y,d
1,-0.5,-0.5,0.0002994935836894046
2,-0.4875,-0.5,0.0003024925259331762
3,-0.475,-0.5,0.0002955967444676713
4,-0.4625,-0.5,0.00026722675648942
5,-0.45,-0.5,0.0002224358839329488
6,-0.4375,-0.5,0.0001913786907265781
7,-0.425,-0.5,0.00011613648849916985
8,-0.4125,-0.5,8.79515102431872e-05
9,-0.4,-0.5,6.495327271787614e-05
10,-0.3875,-0.5,3.758110448235132e-05
11,-0.375,-0.5,3.135219183701828e-05
12,-0.3625,-0.5,2.5221016188207043e-05
13,-0.35,-0.5,3.220688234487779e-05
14,-0.3375,-0.5,4.7070538080622995e-05
15,-0.325,-0.5,6.438624773248022e-05
16,-0.3125,-0.5,0.00010838553270897932
17,-0.3,-0.5,0.0001428415440243008
18,-0.2875,-0.5,0.00019060262595818107
19,-0.275,-0.5,0.00028719375827603987
20,-0.2625,-0.5,0.0003372200696517562
21,-0.25,-0.5,0.0004207262757949432
22,-0.2375,-0.5,0.0004707810871710676
23,-0.22499999999999998,-0.5,0.0006599303369579842
24,-0.21250000000000002,-0.5,0.0007820540160651615
25,-0.2,-0.5,0.0008722413111892593
26,-0.1875,-0.5,0.0011356733770969427
27,-0.175,-0.5,0.0013007805621114677
28,-0.16249999999999998,-0.5,0.001451437533904035
29,-0.15000000000000002,-0.5,0.0017974831222285176
30,-0.1375,-0.5,0.001987924842223107
31,-0.125,-0.5,0.0022069324568704707
32,-0.11249999999999999,-0.5,0.002675013337617986
33,-0.09999999999999998,-0.5,0.0028725424232713395
34,-0.08750000000000002,-0.5,0.003144337970851354
35,-0.07500000000000001,-0.5,0.0037133045688111177
36,-0.0625,-0.5,0.003920591399018257
37,-0.04999999999999999,-0.5,0.004253758650781741
38,-0.03749999999999998,-0.5,0.0044479261875140785
39,-0.025000000000000022,-0.5,0.005062373675752916
40,-0.012500000000000011,-0.5,0.005451862916880818
41,0.0,-0.5,0.005709332004535329
42,0.012499999999999956,-0.5,0.006256471281999163
43,0.025000000000000022,-0.5,0.006656545951882018
44,0.03749999999999998,-0.5,0.0069672179116127084
45,0.050000000000000044,-0.5,0.0074469478878308095
46,0.0625,-0.5,0.007810912104422494
47,0.07499999999999996,-0.5,0.008152325290013591
48,0.08750000000000002,-0.5,0.008585131358349221
49,0.09999999999999998,-0.5,0.008872916466962283
50,0.11250000000000004,-0.5,0.009204306012753207
51,0.125,-0.5,0.009608482824157322
52,0.13749999999999996,-0.5,0.009813642496245237
53,0.15000000000000002,-0.5,0.010098465985473728
54,0.16249999999999998,-0.5,0.010449048215842284
55,0.17500000000000004,-0.5,0.01058685509723735
56,0.1875,-0.5,0.010817534765381102
57,0.19999999999999996,-0.5,0.010935826179964988
58,0.21250000000000002,-0.5,0.011185901150315883
59,0.22499999999999998,-0.5,0.011359381464645046
60,0.23750000000000004,-0.5,0.011467953335878899
61,0.25,-0.5,0.011641593106650347
62,0.26249999999999996,-0.5,0.011763040740745538
63,0.275,-0.5,0.011858216063321523
64,0.2875,-0.5,0.011993775191788628
65,0.30000000000000004,-0.5,0.012080066646862862
66,0.3125,-0.5,0.012166446655128333
67,0.32499999999999996,-0.5,0.012297318076277909
68,0.3375,-0.5,0.012368672818457363
69,0.35,-0.5,0.01245912940384725
70,0.36250000000000004,-0.5,0.012612702346740338
71,0.375,-0.5,0.012686000751439771
72,0.38749999999999996,-0.5,0.012803783564582095
73,0.4,-0.5,0.012869106182987219
74,0.4125,-0.5,0.013098879794355252
75,0.42500000000000004,-0.5,0.013268721448169148
76,0.4375,-0.5,0.013386107270475928
77,0.44999999999999996,-0.5,0.013646570251555492
78,0.4625,-0.5,0.0138310971335053
79,0.475,-0.5,0.013986822471510379
80,0.48750000000000004,-0.5,0.014026933799149991
81,0.5,-0.5,0.014093512957812917
82,-0.5,-0.4875,0.0003323850605070059
83,-0.4875,-0.4875,0.0003189621188236827
84,-0.475,-0.4875,0.00031979312832869334
85,-0.4625,-0.4875,0.0002841910317917291
86,-0.45,-0.4875,0.00020803561243074874
87,-0.4375,-0.4875,0.00016663431051374281
88,-0.425,-0.4875,0.00013272498877912788
89,-0.4125,-0.4875,8.558826301034348e-05
90,-0.4,-0.4875,5.014382265586622e-05
91,-0.3875,-0.4875,4.1185422720723625e-05
92,-0.375,-0.4875,3.150301512857455e-05
93,-0.3625,-0.4875,2.188024451239178e-05
94,-0.35,-0.4875,2.338532563833687e-05
95,-0.3375,-0.4875,4.515401287390614e-05
96,-0.325,-0.4875,7.298711170083482e-05
97,-0.3125,-0.4875,8.582317909055843e-05
98,-0.3,-0.4875,0.0001329581245469201
99,-0.2875,-0.4875,0.00021214068275014834
100,-0.275,-0.4875,0.00024851650595570014
101,-0.2625,-0.4875,0.0003101527336622336
102,-0.25,-0.4875,0.0004521402963518418
103,-0.2375,-0.4875,0.000511481061421946
104,-0.22499999999999998,-0.4875,0.0006047726713786935
105,-0.21250000000000002,-0.4875,0.0008126453691716612
106,-0.2,-0.4875,0.0009374062649060706
107,-0.1875,-0.4875,0.0010451611611736354
108,-0.175,-0.4875,0.0013149768436878637
109,-0.16249999999999998,-0.4875,0.0015462825022044002
110,-0.15000000000000002,-0.4875,0.0016745205176135858
111,-0.1375,-0.4875,0.001964809504718259
112,-0.125,-0.4875,0.002327146478552984
113,-0.11249999999999999,-0.4875,0.0025231607718885
114,-0.09999999999999998,-0.4875,0.002796568469651247
115,-0.08750000000000002,-0.4875,0.0032691238967244136
116,-0.07500000000000001,-0.4875,0.00353877708336216
117,-0.0625,-0.4875,0.003789541756207128
118,-0.04999999999999999,-0.4875,0.004368730521025641
119,-0.03749999999999998,-0.4875,0.004606851997801657
120,-0.025000000000000022,-0.4875,0.004891291761466245
121,-0.012500000000000011,-0.4875,0.005541101940046776
122,0.0,-0.4875,0.005881547069422739
123,0.012499999999999956,-0.4875,0.006074758408054136
124,0.025000000000000022,-0.4875,0.006708441718360719
125,0.03749999999999998,-0.4875,0.007141293582901627
126,0.050000000000000044,-0.4875,0.007276807109209844
127,0.0625,-0.4875,0.007824404250979966
128,0.07499999999999996,-0.4875,0.008321589121760866
129,0.08750000000000002,-0.4875,0.0084372391030669
130,0.09999999999999998,-0.4875,0.008849017872686568
131,0.11250000000000004,-0.4875,0.009356665732662178
132,0.125,-0.4875,0.009485398951743391
133,0.13749999999999996,-0.4875,0.009757747870052551
134,0.15000000000000002,-0.4875,0.01021387973107037
135,0.16249999999999998,-0.4875,0.010355729451784354
136,0.17500000000000004,-0.4875,0.010519035479609359
137,0.1875,-0.4875,0.01089251375991263
138,0.19999999999999996,-0.4875,0.01103299235300976
139,0.21250000000000002,-0.4875,0.011125191840208869
140,0.22499999999999998,-0.4875,0.011403014771948368
141,0.23750000000000004,-0.4875,0.011536347414128944
142,0.25,-0.4875,0.011592373885908227
143,0.26249999999999996,-0.4875,0.011783803157749633
144,0.275,-0.4875,0.011913074670691774
145,0.2875,-0.4875,0.011951615761605597
146,0.30000000000000004,-0.4875,0.01208336353852901
147,0.3125,-0.4875,0.01221277544610636
148,0.32499999999999996,-0.4875,0.012253775403450132
149,0.3375,-0.4875,0.012354506090146945
150,0.35,-0.4875,0.01250078879648809
151,0.36250000000000004,-0.4875,0.012558840565441085
152,0.375,-0.4875,0.012648798318781775
153,0.38749999999999996,-0.4875,0.012844974486826808
154,0.4,-0.4875,0.01292001619268728
155,0.4125,-0.4875,0.013028734666535495
156,0.42500000000000004,-0.4875,0.01330926754978122
157,0.4375,-0.4875,0.013464268134851031
158,0.44999999999999996,-0.4875,0.01355762141438787
159,0.4625,-0.4875,0.013854881937125136
160,0.475,-0.4875,0.014080382003856598
161,0.48750000000000004,-0.4875,0.014109811780458729
162,0.5,-0.4875,0.014095696401878258
163,-0.5,-0.475,0.0003323922417386823
164,-0.4875,-0.475,0.0003323582187828362
165,-0.475,-0.475,0.00033176498059637457
166,-0.4625,-0.475,0.0002946925929525225
167,-0.45,-0.475,0.00019857595914122978
168,-0.4375,-0.475,0.00015381760990597918
169,-0.425,-0.475,0.0001435991340174909
170,-0.4125,-0.475,8.984254589478296e-05
171,-0.4,-0.475,4.817021111072886e-05
172,-0.3875,-0.475,4.178102144493683e-05
173,-0.375,-0.475,3.1915654234194186e-05
174,-0.3625,-0.475,2.1884307381869845e-05
175,-0.35,-0.475,2.0310504643173366e-05
176,-0.3375,-0.475,4.521051801957039e-05
177,-0.325,-0.475,7.323480580797891e-05
178,-0.3125,-0.475,7.98928011020564e-05
179,-0.3,-0.475,0.00013393313613256337
180,-0.2875,-0.475,0.0002154928395177309
181,-0.275,-0.475,0.00023876874475492013
182,-0.2625,-0.475,0.0003082387319022141
183,-0.25,-0.475,0.00046262260928220253
184,-0.2375,-0.475,0.0005207810748417067
185,-0.22499999999999998,-0.475,0.0005899204250950703
186,-0.21250000000000002,-0.475,0.0008240561960972915
187,-0.2,-0.475,0.000955299939228589
188,-0.1875,-0.475,0.0010179747713159088
189,-0.175,-0.475,0.0013210277567776302
190,-0.16249999999999998,-0.475,0.0015750792161750174
191,-0.15000000000000002,-0.475,0.0016378142131400085
192,-0.1375,-0.475,0.0019635632160169224
193,-0.125,-0.475,0.0023778731403375445
194,-0.11249999999999999,-0.475,0.0024667252186440724
195,-0.09999999999999998,-0.475,0.0027586625005397176
196,-0.08750000000000002,-0.475,0.0033181556062204173
197,-0.07500000000000001,-0.475,0.0034825190210502855
198,-0.0625,-0.475,0.003725047162789452
199,-0.04999999999999999,-0.475,0.004377000856646223
200,-0.03749999999999998,-0.475,0.004654341205732931
201,-0.025000000000000022,-0.475,0.0048540728791737625
202,-0.012500000000000011,-0.475,0.0055157503815070254
203,0.0,-0.475,0.005931421759707695
204,0.012499999999999956,-0.475,0.005952280666463593
205,0.025000000000000022,-0.475,0.006680974619819066
206,0.03749999999999998,-0.475,0.00720293659446988
207,0.050000000000000044,-0.475,0.007212941379463799
208,0.0625,-0.475,0.007818532933941559
209,0.07499999999999996,-0.475,0.008403886626868414
210,0.08750000000000002,-0.475,0.00840418718099616
211,0.09999999999999998,-0.475,0.008863406893587132
212,0.11250000000000004,-0.475,0.00947233123458931
213,0.125,-0.475,0.009467075715117762
214,0.13749999999999996,-0.475,0.009767007474550686
215,0.15000000000000002,-0.475,0.010200108865795428
216,0.16249999999999998,-0.475,0.010348323906736298
217,0.17500000000000004,-0.475,0.010524991935646238
218,0.1875,-0.475,0.010875665409653904
219,0.19999999999999996,-0.475,0.011037966767034365
220,0.21250000000000002,-0.475,0.011136683267774415
221,0.22499999999999998,-0.475,0.011393622918268637
222,0.23750000000000004,-0.475,0.011549874382704947
223,0.25,-0.475,0.011553092944370538
224,0.26249999999999996,-0.475,0.01178425394555127
225,0.275,-0.475,0.01192895873109236
226,0.2875,-0.475,0.011929313250608678
227,0.30000000000000004,-0.475,0.012088698015348679
228,0.3125,-0.475,0.01223773772140626
229,0.32499999999999996,-0.475,0.012237903314374382
230,0.3375,-0.475,0.012355392228253954
231,0.35,-0.475,0.012505847084659604
232,0.36250000000000004,-0.475,0.012544804060879705
233,0.375,-0.475,0.012643424047809992
234,0.38749999999999996,-0.475,0.012846721123738702
235,0.4,-0.475,0.01292951533051702
236,0.4125,-0.475,0.013023748354239287
237,0.42500000000000004,-0.475,0.013308967261498043
238,0.4375,-0.475,0.013481005768723435
239,0.44999999999999996,-0.475,0.01355563065087053
240,0.4625,-0.475,0.013856748256771394
241,0.475,-0.475,0.014108303602910186
242,0.48750000000000004,-0.475,0.014105943291843379
243,0.5,-0.475,0.014085706507864906
244,-0.5,-0.4625,0.00033243094986190114
245,-0.4875,-0.4625,0.00033240158734008235
246,-0.475,-0.4625,0.00033238755024108356
247,-0.4625,-0.4625,0.00028078911334106406
248,-0.45,-0.4625,0.000210097319714994
249,-0.4375,-0.4625,0.00014573141976451556
250,-0.425,-0.4625,0.0001406199956801291
251,-0.4125,-0.4625,9.704022386124137e-05
252,-0.4,-0.4625,3.932060675497044e-05
253,-0.3875,-0.4625,3.763580698654628e-05
254,-0.375,-0.4625,3.562141667008765e-05
255,-0.3625,-0.4625,2.1475071333060932e-05
