repo_relative_path,file_size_bytes,sha256,original_cluster_path,copied_at_utc
runs/hpc/stage_f/mode_ii_h1/evidence/1379433.mmaster02/extracted/sdv14_sdv15_sdv16_contours.csv,28448506,be8c60102b859c2133206b488ffcae881d5a0f7ea0a59390ad789f9718385fd9,/scratch/pr21vyci/adaptive-remeshing/runs/mode_ii_h1_serial_1379433.mmaster02/extracted/sdv14_sdv15_sdv16_contours.csv,2026-07-28T09:00:00Z
runs/hpc/stage_f/mode_ii_h1/evidence/1379433.mmaster02/extracted/SINGLE_NOTCH_EXTRACTION.md,3019,8b4444b0206bf26c66af3906a3e603aa3b94f6d6858b00fcfbf0c837c001d844,/scratch/pr21vyci/adaptive-remeshing/runs/mode_ii_h1_serial_1379433.mmaster02/extracted/SINGLE_NOTCH_EXTRACTION.md,2026-07-28T09:00:00Z
runs/hpc/stage_f/mode_ii_h1/evidence/1379433.mmaster02/extracted/single_notch_extraction_summary.json,5214,8b0a30c6425b4950d416ff643000341260d826e612754f25ff7851a9415cae4d,/scratch/pr21vyci/adaptive-remeshing/runs/mode_ii_h1_serial_1379433.mmaster02/extracted/single_notch_extraction_summary.json,2026-07-28T09:00:00Z
runs/hpc/stage_f/mode_ii_h1/evidence/1379433.mmaster02/F2_H1_SOLVER_QSTAT_FINAL.txt,2648,0cd842cadd11dd30696625b59f9df21465f212c049220c18713e5fd9d7e7ffd6,/scratch/pr21vyci/adaptive-remeshing/runs/mode_ii_h1_serial_1379433.mmaster02/F2_H1_SOLVER_QSTAT_FINAL.txt,2026-07-28T09:00:00Z
runs/hpc/stage_f/mode_ii_h1/evidence/1379433.mmaster02/F2_H1_SOLVER_TRACEJOB.txt,73,0125aac2b521185eedc31baab9a21f64f1015fdd9711bd4ad4304a4a946bdfb4,/scratch/pr21vyci/adaptive-remeshing/runs/mode_ii_h1_serial_1379433.mmaster02/F2_H1_SOLVER_TRACEJOB.txt,2026-07-28T09:00:00Z
runs/hpc/stage_f/mode_ii_h1/evidence/1379433.mmaster02/input_hash_check.txt,66,1cf3b018c1ef55bcf27da69cc8cef8cd0427015b3a49913eb5e578991c7a2aac,/scratch/pr21vyci/adaptive-remeshing/runs/mode_ii_h1_serial_1379433.mmaster02/input_hash_check.txt,2026-07-28T09:00:00Z
runs/hpc/stage_f/mode_ii_h1/evidence/1379433.mmaster02/mode_ii_h1_serial.abaqus_stdout.log,3423,3219603f993bf453f19b39fbe34ac46c4634a3d1856901685eca77cf1a33edc5,/scratch/pr21vyci/adaptive-remeshing/runs/mode_ii_h1_serial_1379433.mmaster02/mode_ii_h1_serial.abaqus_stdout.log,2026-07-28T09:00:00Z
runs/hpc/stage_f/mode_ii_h1/evidence/1379433.mmaster02/mode_ii_h1_serial.com,2970,641ba81ff0e4a6402a4fca4040e5c32f1722a5745d3f7f9504315dbc1aee4870,/scratch/pr21vyci/adaptive-remeshing/runs/mode_ii_h1_serial_1379433.mmaster02/mode_ii_h1_serial.com,2026-07-28T09:00:00Z
runs/hpc/stage_f/mode_ii_h1/evidence/1379433.mmaster02/mode_ii_h1_serial.dat,16375,bbe60c02c79f55b9671f8bf87ecdb8f16e5c416b9a3b614a335acb6d42237373,/scratch/pr21vyci/adaptive-remeshing/runs/mode_ii_h1_serial_1379433.mmaster02/mode_ii_h1_serial.dat,2026-07-28T09:00:00Z
runs/hpc/stage_f/mode_ii_h1/evidence/1379433.mmaster02/mode_ii_h1_serial.msg,3946069,7197f4b33467e3332f163717866f5d2e5899e9dba72644e164a89dbba4143d99,/scratch/pr21vyci/adaptive-remeshing/runs/mode_ii_h1_serial_1379433.mmaster02/mode_ii_h1_serial.msg,2026-07-28T09:00:00Z
runs/hpc/stage_f/mode_ii_h1/evidence/1379433.mmaster02/mode_ii_h1_serial.prt,3683,7b20e9ec7ebf8bcfa5851b3c352a885ac4d6245e0c3df138d5a45fb827cc5020,/scratch/pr21vyci/adaptive-remeshing/runs/mode_ii_h1_serial_1379433.mmaster02/mode_ii_h1_serial.prt,2026-07-28T09:00:00Z
runs/hpc/stage_f/mode_ii_h1/evidence/1379433.mmaster02/mode_ii_h1_serial.sta,167868,539ed3bc35e3ac9982ead5eb09552d7247c5740c644c5ff8b30c63d3fbc71c78,/scratch/pr21vyci/adaptive-remeshing/runs/mode_ii_h1_serial_1379433.mmaster02/mode_ii_h1_serial.sta,2026-07-28T09:00:00Z
runs/hpc/stage_f/mode_ii_h1/evidence/1379433.mmaster02/MODE_II_H1_SERIAL_STATUS.json,419,dc293300e3176bf777bd526ec087b03ded03022ccc5ec401a35203bed2aad92a,/scratch/pr21vyci/adaptive-remeshing/runs/mode_ii_h1_serial_1379433.mmaster02/MODE_II_H1_SERIAL_STATUS.json,2026-07-28T09:00:00Z
runs/hpc/stage_f/mode_ii_h1/evidence/1379433.mmaster02/telegram_notify.log,131,a4a79ad0592358767ba8f70dfdb4e6e1fccdb0d80f51b8164bc17ed217ad3976,/scratch/pr21vyci/adaptive-remeshing/runs/mode_ii_h1_serial_1379433.mmaster02/telegram_notify.log,2026-07-28T09:00:00Z
runs/hpc/stage_f/mode_ii_h1/evidence/1379433.mmaster02/VALIDATION_RESULTS.json,575,af33bb9c531820c0b05a7998ed31b8e53e26b69940c3a12fbf50f0f264d7314b,/scratch/pr21vyci/adaptive-remeshing/runs/mode_ii_h1_serial_1379433.mmaster02/VALIDATION_RESULTS.json,2026-07-28T09:00:00Z
