target_abs_u,abs_u_error,step,frame,step_time,rp_u1,rp_rf1,max_sdv14,max_sdv15,max_sdv16
0.002,9.499490256914545e-11,Step-1,20,0.20000000298023224,0.0020000000949949026,0.09212781488895416,0.018056070432066917,0.01824176497757435,0.010694514028728008
0.005,1.1175870905794083e-10,Step-1,50,0.5,0.004999999888241291,0.22533376514911652,0.1263064593076706,0.12688541412353516,0.08570704609155655
0.006,5.2154064053566707e-11,Step-2,10,0.10000000149011612,0.006000000052154064,0.2669525742530823,0.19715124368667603,0.19723375141620636,0.14779633283615112
0.007,2.1606683716507424e-10,Step-2,20,0.20000000298023224,0.007000000216066837,0.30629587173461914,0.2991018295288086,0.2992289960384369,0.26545220613479614
