step,frame,step_time,target_abs_u,rp_u1,rp_rf1,element,integration_point,sdv14,sdv15,sdv16
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.02561930939555168,24129,1,0.0007272727671079338,0.0007346184574998915,0.00010801922326209024
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.02561930939555168,24129,2,0.0005708669777959585,0.0005766331451013684,5.532259092433378e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.02561930939555168,24129,3,0.0006010474753566086,0.0006071180105209351,8.590415382059291e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.02561930939555168,24129,4,0.0005020104581490159,0.0005070808110758662,4.0618382627144456e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.02561930939555168,24130,1,0.0004763900942634791,0.00048120200517587364,4.1759918531170115e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.02561930939555168,24130,2,0.0003746802394744009,0.0003784646687563509,3.206884503015317e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.02561930939555168,24130,3,0.0004369633097667247,0.0004413766728248447,3.650983126135543e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.02561930939555168,24130,4,0.00035828814725391567,0.0003619067429099232,2.7443296858109534e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.02561930939555168,24131,1,0.00032215891405940056,0.00032541269320063293,2.832533027685713e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.02561930939555168,24131,2,0.0002803778334055096,0.0002832094032783061,2.4429182303720154e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.02561930939555168,24131,3,0.0003155308950226754,0.0003187175316270441,2.606643465696834e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.02561930939555168,24131,4,0.00027739108190871775,0.00028019235469400883,2.2278947653830983e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.02561930939555168,24132,1,0.00025811741943471134,0.0002607240458019078,2.2857058866065927e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.02561930939555168,24132,2,0.00023908195726107806,0.00024149617820512503,2.1151079636183567e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.02561930939555168,24132,3,0.00025691493647173047,0.0002595093101263046,2.1771720639662817e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.02561930939555168,24132,4,0.00023911295284051448,0.00024152743571903557,2.0079776732018217e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.02561930939555168,24133,1,0.00022890945547260344,0.00023122085258364677,2.0446297639864497e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.02561930939555168,24133,2,0.0002201531606260687,0.00022237602388486266,1.9652732589747757e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.02561930939555168,24133,3,0.0002294849546160549,0.0002318021288374439,1.9878687453456223e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.02561930939555168,24133,4,0.00022098273620940745,0.0002232139668194577,1.908152444229927e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.02561930939555168,24134,1,0.00021558935986831784,0.00021776609355583787,1.9353812604094855e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.02561930939555168,24134,2,0.00021187716629356146,0.0002140163560397923,1.9017448721569963e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.02561930939555168,24134,3,0.00021651669521816075,0.00021870278578717262,1.9066865206696093e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.02561930939555168,24134,4,0.0002128174528479576,0.00021496613044291735,1.87255245691631e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.02561930939555168,24135,1,0.0002101318968925625,0.0002122534206137061,1.8927697965409607e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.02561930939555168,24135,2,0.0002090759080601856,0.00021118673612363636,1.883336153696291e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.02561930939555168,24135,3,0.0002110554778482765,0.00021318632934708148,1.8807899323292077e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.02561930939555168,24135,4,0.0002099409030051902,0.0002120604767696932,1.871051063062623e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.02561930939555168,24136,1,0.00020880957890767604,0.00021091770031489432,1.8852779248845764e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.02561930939555168,24136,2,0.0002091379283228889,0.00021124935301486403,1.8885899407905526e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.02561930939555168,24136,3,0.00020963219867553562,0.00021174864377826452,1.8837923562387004e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.02561930939555168,24136,4,0.0002099034027196467,0.00021202255447860807,1.8869955965783447e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.02561930939555168,24137,1,0.00020960310939699411,0.000211719234357588,1.8956003259518184e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.02561930939555168,24137,2,0.00021054565149825066,0.00021267130796331912,1.904662167362403e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.02561930939555168,24137,3,0.00021033783559687436,0.0002124613820342347,1.900536699395161e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.02561930939555168,24137,4,0.00021125352941453457,0.00021338633086998016,1.909601633087732e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.02561930939555168,24138,1,0.00021126675710547715,0.00021339970408007503,1.912855077534914e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.02561930939555168,24138,2,0.0002122942969435826,0.00021443763398565352,1.9228555174777284e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.02561930939555168,24138,3,0.00021197118621785194,0.00021411123452708125,1.921092734846752e-05
Step-1,20,0.20000000298023224,0.002,0.0020000000949949026,0.02561930939555168,24138,4,0.00021301614469848573,0.00021516677225008607,1.9311048163217492e-05
