frame_tag,step,frame_index,top_node_count,top_u2_mean,top_u2_min,top_u2_max,top_rf2_sum
F0_ingested,INGEST_COMPATIBLE_R2,1,81,0.0,0.0,0.0,0.0
F1_equilibrated,CHECKPOINT_EQUILIBRATION_COMPATIBLE_R2_FIXED,10,81,0.003000000026077032,0.003000000026077032,0.003000000026077032,0.3945866402493816
F2_release_first,ACTIVE_SET_R2_RELEASE_HOLD,1,81,0.003000000026077032,0.003000000026077032,0.003000000026077032,0.39458664024938234
F3_release_last,ACTIVE_SET_R2_RELEASE_HOLD,10,81,0.003000000026077032,0.003000000026077032,0.003000000026077032,0.39449617805669307
F4_segment_initial,ACTIVE_SET_VALIDITY_SEGMENT,0,81,0.003000000026077032,0.003000000026077032,0.003000000026077032,0.39449617805669307
F4_segment_inc_001,ACTIVE_SET_VALIDITY_SEGMENT,1,81,0.0030100000234693242,0.003010000023469329,0.003010000023469329,0.3958111625568006
F4_segment_inc_002,ACTIVE_SET_VALIDITY_SEGMENT,2,81,0.00302000002086162,0.003020000020861626,0.003020000020861626,0.3971261492346985
F4_segment_inc_003,ACTIVE_SET_VALIDITY_SEGMENT,3,81,0.0030300000182539254,0.0030300000182539224,0.0030300000182539224,0.3984353254890909
F4_segment_inc_004,ACTIVE_SET_VALIDITY_SEGMENT,4,81,0.0030400000156462206,0.003040000015646219,0.003040000015646219,0.3997438676834957
F4_segment_inc_005,ACTIVE_SET_VALIDITY_SEGMENT,5,81,0.003050000013038513,0.0030500000130385158,0.0030500000130385158,0.40105183550768103
F4_segment_inc_006,ACTIVE_SET_VALIDITY_SEGMENT,6,81,0.0030600000104308088,0.0030600000104308127,0.0030600000104308127,0.4023595382473026
F4_segment_inc_007,ACTIVE_SET_VALIDITY_SEGMENT,7,81,0.003070000007823114,0.003070000007823109,0.003070000007823109,0.4036669991798235
F4_segment_inc_008,ACTIVE_SET_VALIDITY_SEGMENT,8,81,0.0030800000052154095,0.003080000005215406,0.003080000005215406,0.40497416608237086
F4_segment_inc_009,ACTIVE_SET_VALIDITY_SEGMENT,9,81,0.0030900000026077017,0.0030900000026077025,0.0030900000026077025,0.4062810732170696
F4_segment_end,ACTIVE_SET_VALIDITY_SEGMENT,10,81,0.0030999999999999973,0.0031,0.0031,0.4075877888125281
