frame_tag,step_name,frame_index,step_time,normalized_step_time,expected_top_u2,actual_top_u2_mean,actual_top_u2_min,actual_top_u2_max,top_node_count,top_rf2_sum
F0_ingested,INGEST_COMPATIBLE_R2,1,1.0,1.0,0.0,0.0,0.0,0.0,81,0.0
F1_equilibrated,CHECKPOINT_EQUILIBRATION_COMPATIBLE_R2_FIXED,10,1.0,1.0,0.003000000026077032,0.003000000026077032,0.003000000026077032,0.003000000026077032,81,0.3945866402493816
F2_release_first,ACTIVE_SET_R2_RELEASE_HOLD,1,0.10000000149011612,0.10000000149011612,0.003000000026077032,0.003000000026077032,0.003000000026077032,0.003000000026077032,81,0.39458664024938234
F3_release_last,ACTIVE_SET_R2_RELEASE_HOLD,10,1.0,1.0,0.003000000026077032,0.003000000026077032,0.003000000026077032,0.003000000026077032,81,0.39449617805669307
F4_segment_initial,ACTIVE_SET_VALIDITY_SEGMENT,0,0.0,0.0,0.003000000026077032,0.003000000026077032,0.003000000026077032,0.003000000026077032,81,0.39449617805669307
F4_segment_inc_001,ACTIVE_SET_VALIDITY_SEGMENT,1,0.10000000149011612,0.10000000149011612,0.0030100000236183404,0.0030100000234693242,0.003010000023469329,0.003010000023469329,81,0.3958111625568006
F4_segment_inc_002,ACTIVE_SET_VALIDITY_SEGMENT,2,0.20000000298023224,0.20000000298023224,0.003020000021159649,0.00302000002086162,0.003020000020861626,0.003020000020861626,81,0.3971261492346985
F4_segment_inc_003,ACTIVE_SET_VALIDITY_SEGMENT,3,0.30000001192092896,0.30000001192092896,0.003030000019446015,0.0030300000182539254,0.0030300000182539224,0.0030300000182539224,81,0.3984353254890909
F4_segment_inc_004,ACTIVE_SET_VALIDITY_SEGMENT,4,0.4000000059604645,0.4000000059604645,0.0030400000162422655,0.0030400000156462206,0.003040000015646219,0.003040000015646219,81,0.3997438676834957
F4_segment_inc_005,ACTIVE_SET_VALIDITY_SEGMENT,5,0.5,0.5,0.003050000013038516,0.003050000013038513,0.0030500000130385158,0.0030500000130385158,81,0.40105183550768103
F4_segment_inc_006,ACTIVE_SET_VALIDITY_SEGMENT,6,0.6000000238418579,0.6000000238418579,0.003060000012814998,0.0030600000104308088,0.0030600000104308127,0.0030600000104308127,81,0.4023595382473026
F4_segment_inc_007,ACTIVE_SET_VALIDITY_SEGMENT,7,0.699999988079071,0.699999988079071,0.003070000006631017,0.003070000007823114,0.003070000007823109,0.003070000007823109,81,0.4036669991798235
F4_segment_inc_008,ACTIVE_SET_VALIDITY_SEGMENT,8,0.800000011920929,0.800000011920929,0.003080000006407499,0.0030800000052154095,0.003080000005215406,0.003080000005215406,81,0.40497416608237086
F4_segment_inc_009,ACTIVE_SET_VALIDITY_SEGMENT,9,0.8999999761581421,0.8999999761581421,0.003090000000223518,0.0030900000026077017,0.0030900000026077025,0.0030900000026077025,81,0.4062810732170696
F4_segment_end,ACTIVE_SET_VALIDITY_SEGMENT,10,1.0,1.0,0.0031,0.0030999999999999973,0.0031,0.0031,81,0.4075877888125281
