U2,RF2
0,0
9.9999997e-05,0.0134522747248
0.000199999995,0.0269025340676
0.000300000014,0.0403484553099
0.00039999999,0.0537877194583
0.000500000024,0.0672179982066
0.000600000028,0.0806369706988
0.000699999975,0.0940423160791
0.00079999998,0.107431717217
0.000899999985,0.120802864432
0.001000000047,0.134153440595
0.001099999994,0.147481113672
0.001200000057,0.160783603787
0.001300000004,0.174058571458
0.00139999995,0.187303736806
0.001500000013,0.200516790152
0.00159999996,0.213695421815
0.001700000023,0.226837337017
0.001799999969,0.239940226078
0.001900000032,0.25300180912
0.002000000095,0.266019791365
0.002099999925,0.27899184823
0.002199999988,0.291915714741
0.002300000051,0.304789066315
0.002400000114,0.317609637976
0.002499999944,0.330375105143
0.002600000007,0.343083143234
0.00270000007,0.355731457472
0.0027999999,0.368317753077
0.002899999963,0.38083961606
0.003000000026,0.393294751644
0.003100000089,0.405680775642
0.003199999919,0.417995303869
0.003299999982,0.430235922337
0.003400000045,0.442400157452
0.003500000108,0.454485535622
0.003599999938,0.466489553452
0.003700000001,0.478409558535
0.003800000064,0.490242928267
0.003899999894,0.501986920834
0.00400000019,0.513638675213
0.00410000002,0.525195240974
0.00419999985,0.536653518677
0.004300000146,0.548010230064
0.004399999976,0.559261798859
0.004499999806,0.570404469967
0.004600000102,0.581434190273
0.004699999932,0.592346251011
0.004800000228,0.60313564539
0.004900000058,0.61379635334
0.004999999888,0.624321579933
0.005100000184,0.634226083755
0.005200000014,0.644408345222
0.005299999844,0.654411554337
0.00540000014,0.664211332798
0.00549999997,0.673769295216
0.0055999998,0.683016896248
0.005700000096,0.691801309586
0.005799999926,0.699604451656
0.005900000222,0.692214250565
0.006000000052,0.57863599062
0.006099999882,0.453224122524
0.006200000178,0.304168581963
0.006300000008,0.099696367979
0.006399999838,0.000333403993864
0.006500000134,0.000323409010889
0.006599999964,0.000313962227665
0.006699999794,0.000305025139824
0.00680000009,0.00029656253173
0.00689999992,0.000288542214548
0.007000000216,0.000280934822513
