step,frame,time,top_u1,top_rf1
MONOTONIC,0,0.0,0.0,0.0
MONOTONIC,1,0.019999999552965164,5.999999848427251e-05,0.004732691057142802
MONOTONIC,2,0.03999999910593033,0.00011999999696854502,0.009465382114285603
MONOTONIC,3,0.05999999865889549,0.00018000000272877514,0.014118904917268082
MONOTONIC,4,0.07999999821186066,0.00023999999393709004,0.01851495268056169
MONOTONIC,5,0.10000000149011612,0.0003000000142492354,0.02251432917546481
MONOTONIC,6,0.11999999731779099,0.0003600000054575503,0.026019758719485253
MONOTONIC,7,0.14000000059604645,0.0004199999966658652,0.028940494114067405
MONOTONIC,8,0.1599999964237213,0.0004799999878741801,0.03126159921521321
MONOTONIC,9,0.18000000715255737,0.000539999979082495,0.03295114770298824
MONOTONIC,10,0.20000000298023224,0.0006000000284984708,0.03406423586420715
MONOTONIC,11,0.2199999988079071,0.0006600000197067857,0.034618225414305925
MONOTONIC,12,0.23999999463558197,0.0007200000109151006,0.034702499106060714
MONOTONIC,13,0.25999999046325684,0.0007800000021234155,0.03436571569181979
MONOTONIC,14,0.2800000011920929,0.0008399999933317304,0.03369602729799226
MONOTONIC,15,0.30000001192092896,0.0008999999845400453,0.03275615454185754
MONOTONIC,16,0.3199999928474426,0.0009599999757483602,0.03161176893627271
MONOTONIC,17,0.3400000035762787,0.001019999966956675,0.03032721736235544
MONOTONIC,18,0.36000001430511475,0.00107999995816499,0.0289398196619004
MONOTONIC,19,0.3799999952316284,0.0011399999493733048,0.027508189086802304
MONOTONIC,20,0.4000000059604645,0.0012000000569969416,0.026045214326586574
MONOTONIC,21,0.41999998688697815,0.0012600000482052565,0.024600272765383124
MONOTONIC,22,0.4399999976158142,0.0013200000394135714,0.023169499239884317
MONOTONIC,23,0.46000000834465027,0.0013800000306218863,0.021791980194393545
MONOTONIC,24,0.47999998927116394,0.0014400000218302011,0.020454690151382238
MONOTONIC,25,0.5,0.001500000013038516,0.019186695339158177
MONOTONIC,26,0.5199999809265137,0.001560000004246831,0.017971735855098814
MONOTONIC,27,0.5400000214576721,0.0016199999954551458,0.016829671047162265
MONOTONIC,28,0.5600000023841858,0.0016799999866634607,0.01574505981989205
MONOTONIC,29,0.5799999833106995,0.0017399999778717756,0.014729429705766961
MONOTONIC,30,0.6000000238418579,0.0017999999690800905,0.01377072196919471
MONOTONIC,31,0.6200000047683716,0.0018599999602884054,0.01287279513780959
MONOTONIC,32,0.6399999856948853,0.0019199999514967203,0.012028282217215747
MONOTONIC,33,0.6600000262260437,0.001979999942705035,0.011229875381104648
MONOTONIC,34,0.6800000071525574,0.00203999993391335,0.010476897557964548
MONOTONIC,35,0.699999988079071,0.002099999925121665,0.009748454962391406
MONOTONIC,36,0.7200000286102295,0.00215999991632998,0.009057352144736797
MONOTONIC,37,0.7400000095367432,0.002219999907538295,0.008379002334550023
MONOTONIC,38,0.7599999904632568,0.0022799998987466097,0.007735002582194284
MONOTONIC,39,0.7799999713897705,0.0023399998899549246,0.007101765877450816
MONOTONIC,40,0.800000011920929,0.002400000113993883,0.00650376510748174
