step,frame,u1,phase_min,phase_max,sdv16_max
Step-1,0,0.0,0.0,0.0,0.0
Step-1,10,9.999999747378752e-05,2.4800286824167017e-10,4.2617622966645285e-05,0.00019233756756875664
Step-1,20,0.00019999999494757503,1.1052325721294665e-09,0.00018995848949998617,0.0007695817621424794
Step-1,30,0.0003000000142492354,2.5745285903155946e-09,0.00044262289884500206,0.0017324527725577354
Step-1,40,0.00039999998989515007,4.655504426409607e-09,0.000800742011051625,0.003082170384004712
Step-1,50,0.0005000000237487257,7.347608743657474e-09,0.0012645042734220624,0.0048204585909843445
Step-1,60,0.0006000000284984708,1.065012344980687e-08,0.0018341562245041132,0.0069495514035224915
Step-1,70,0.000699999975040555,1.456216658368703e-08,0.0025100025814026594,0.009472203440964222
Step-1,80,0.0007999999797903001,1.9082687430227452e-08,0.003292407374829054,0.012391697615385056
Step-1,90,0.0008999999845400453,2.4210470073171564e-08,0.004181795287877321,0.015711858868598938
Step-1,100,0.0010000000474974513,2.9944128954184634e-08,0.00517865177243948,0.019437074661254883
Step-1,110,0.0010999999940395355,3.628210976103219e-08,0.006283525377511978,0.023572297766804695
Step-1,120,0.0012000000569969416,4.322268765122317e-08,0.0074970293790102005,0.02812308631837368
Step-1,130,0.0013000000035390258,5.0763965475653094e-08,0.008819841779768467,0.03309560567140579
Step-1,140,0.00139999995008111,5.8903872002247226e-08,0.010252710431814194,0.03849667310714722
Step-1,150,0.001500000013038516,6.764015836324688e-08,0.01179645024240017,0.044333767145872116
Step-1,160,0.0015999999595806003,7.697040871335048e-08,0.013451951555907726,0.05061507597565651
Step-1,170,0.0017000000225380063,8.689201536071778e-08,0.015220177359879017,0.05734952166676521
Step-1,180,0.0017999999690800905,9.74021929778246e-08,0.01710217073559761,0.06454680860042572
Step-1,190,0.0019000000320374966,1.0849797860146282e-07,0.019099051132798195,0.07221744954586029
Step-1,200,0.0020000000949949026,1.201762103164583e-07,0.021212030202150345,0.08037284016609192
Step-1,210,0.002099999925121665,1.3243355567738035e-07,0.023442400619387627,0.08902528882026672
Step-1,220,0.002199999988079071,1.452664690759775e-07,0.025791550055146217,0.09818807989358902
Step-1,230,0.002300000051036477,1.586712272683144e-07,0.028260963037610054,0.10787555575370789
Step-1,240,0.002400000113993883,1.7264387963678018e-07,0.03085222840309143,0.11810316890478134
Step-1,250,0.0024999999441206455,1.8718029082265275e-07,0.03356703743338585,0.12888756394386292
Step-1,260,0.0026000000070780516,2.0227612651524396e-07,0.03640719875693321,0.1402466744184494
Step-1,270,0.0027000000700354576,2.1792681081933551e-07,0.039374638348817825,0.15219983458518982
Step-1,280,0.00279999990016222,2.3412758309859782e-07,0.04247141256928444,0.1647678166627884
Step-1,290,0.002899999963119626,2.50873398499607e-07,0.04569970816373825,0.17797304689884186
Step-1,300,0.003000000026077032,2.6815905584953725e-07,0.049061860889196396,0.19183970987796783
Step-1,310,0.003100000089034438,2.8597906975846854e-07,0.05256034806370735,0.20639382302761078
Step-1,320,0.0031999999191612005,3.0432772746280534e-07,0.05619782209396362,0.22166353464126587
Step-1,330,0.0032999999821186066,3.2319903198185784e-07,0.059977106750011444,0.23767916858196259
Step-1,340,0.0034000000450760126,3.425867589612608e-07,0.06390120834112167,0.25447356700897217
Step-1,350,0.0035000001080334187,3.624843714078452e-07,0.06797333061695099,0.27208220958709717
Step-1,360,0.003599999938160181,3.828851049547666e-07,0.07219691574573517,0.2905435264110565
Step-1,370,0.003700000001117587,4.0378182575295796e-07,0.07657560706138611,0.309899240732193
Step-1,380,0.003800000064074993,4.2516717257967684e-07,0.0811133161187172,0.3301946222782135
