step,frame,u1,phase_min,phase_max,sdv16_max
Step-1,390,0.0038999998942017555,4.4703341472995817e-07,0.0858142301440239,0.3514788746833801
Step-1,400,0.004000000189989805,4.6937245201661426e-07,0.09068282693624496,0.37380561232566833
Step-1,410,0.004100000020116568,4.921759000353632e-07,0.09572391211986542,0.39723333716392517
Step-1,420,0.00419999985024333,5.15434919634572e-07,0.10094261914491653,0.42182597517967224
Step-1,430,0.00430000014603138,5.391403306020948e-07,0.10634450614452362,0.44765353202819824
Step-1,440,0.004399999976158142,5.63282526400144e-07,0.11193551123142242,0.47479283809661865
Step-1,450,0.0044999998062849045,5.878513889001624e-07,0.1177220493555069,0.5033283829689026
Step-1,460,0.004600000102072954,6.128364020696608e-07,0.12371105700731277,0.5333533883094788
Step-1,470,0.004699999932199717,6.382264814419614e-07,0.12991002202033997,0.5649706721305847
Step-1,480,0.004800000227987766,6.640099741161976e-07,0.13632704317569733,0.5982944369316101
Step-1,490,0.004900000058114529,6.901747156007332e-07,0.14297093451023102,0.6334515810012817
Step-1,500,0.004999999888241291,7.16707745596068e-07,0.14985127747058868,0.6705833673477173
Step-2,0,0.004999999888241291,7.16707745596068e-07,0.14985127747058868,0.6705833673477173
Step-2,100,0.005249999929219484,7.863852147238504e-07,0.1690487414598465,0.7752471566200256
Step-2,200,0.005499999970197678,8.56215706335206e-07,0.1892397552728653,0.8950358033180237
Step-2,300,0.005750000011175871,9.277264325646684e-07,0.21145324409008026,1.0358526706695557
Step-2,400,0.006000000052154064,1.000588781607803e-06,0.23607298731803894,1.2042893171310425
Step-2,500,0.0062500000931322575,1.0752251000667457e-06,0.2637178897857666,1.4091084003448486
Step-2,600,0.006500000134110451,1.1493083320601727e-06,0.2946656346321106,1.6652722358703613
Step-2,700,0.006750000175088644,1.22244398426119e-06,0.32962939143180847,1.9952853918075562
Step-2,800,0.007000000216066837,1.2958624893144588e-06,0.371359646320343,2.446636199951172
Step-2,900,0.007249999791383743,1.365087541671528e-06,0.4221546947956085,3.114891529083252
Step-2,1000,0.007499999832361937,1.4274168051997549e-06,0.4876439869403839,4.252440929412842
Step-2,1100,0.00774999987334013,1.4754622270629625e-06,0.5924781560897827,7.064630031585693
Step-2,1200,0.00800000037997961,1.4982894072090858e-06,0.9084242582321167,53.63200759887695
Step-2,1300,0.008249999955296516,1.5153493677644292e-06,0.9805951118469238,291.298095703125
Step-2,1400,0.008500000461935997,1.536305148874817e-06,0.9926801919937134,590.1232299804688
Step-2,1500,0.008750000037252903,1.5607613477186533e-06,0.9963406324386597,843.6609497070312
Step-2,1600,0.008999999612569809,1.5849325336603215e-06,0.9977646470069885,1085.994384765625
Step-2,1700,0.00925000011920929,1.6085379002106492e-06,0.9984723925590515,1330.5887451171875
Step-2,1800,0.009499999694526196,1.6296032754326006e-06,0.9989045262336731,1592.60546875
Step-2,1900,0.009750000201165676,1.6472523611810175e-06,0.9999661445617676,2190.800048828125
Step-2,1906,0.009762500412762165,1.649666501180036e-06,0.9998552203178406,2303.837646484375
