step,frame,step_time,u1,rf1,d_max
Step-1,0,0.0,0.0,-0.0,0.0
Step-1,10,0.009999999776482582,9.999999747378752e-05,0.004597701132297516,4.2617622966645285e-05
Step-1,20,0.019999999552965164,0.00019999999494757503,0.009195146150887012,0.00018995848949998617
Step-1,30,0.029999999329447746,0.0003000000142492354,0.013792059384286404,0.00044262289884500206
Step-1,40,0.03999999910593033,0.00039999998989515007,0.018388167023658752,0.000800742011051625
Step-1,50,0.05000000074505806,0.0005000000237487257,0.022983195260167122,0.0012645042734220624
Step-1,60,0.05999999865889549,0.0006000000284984708,0.02757686749100685,0.0018341562245041132
Step-1,70,0.07000000029802322,0.000699999975040555,0.032168909907341,0.0025100025814026594
Step-1,80,0.07999999821186066,0.0007999999797903001,0.036759041249752045,0.003292407374829054
Step-1,90,0.09000000357627869,0.0008999999845400453,0.04134698957204819,0.004181795287877321
Step-1,100,0.10000000149011612,0.0010000000474974513,0.045932479202747345,0.00517865177243948
Step-1,110,0.10999999940395355,0.0010999999940395355,0.05051523074507713,0.006283525377511978
Step-1,120,0.11999999731779099,0.0012000000569969416,0.05509496480226517,0.0074970293790102005
Step-1,130,0.12999999523162842,0.0013000000035390258,0.05967140197753906,0.008819841779768467
Step-1,140,0.14000000059604645,0.00139999995008111,0.06424426287412643,0.010252710431814194
Step-1,150,0.15000000596046448,0.001500000013038516,0.0688132643699646,0.01179645024240017
Step-1,160,0.1599999964237213,0.0015999999595806003,0.07337813079357147,0.013451951555907726
Step-1,170,0.17000000178813934,0.0017000000225380063,0.07793857157230377,0.015220177359879017
Step-1,180,0.18000000715255737,0.0017999999690800905,0.08249430358409882,0.01710217073559761
Step-1,190,0.1899999976158142,0.0019000000320374966,0.08704504370689392,0.019099051132798195
Step-1,200,0.20000000298023224,0.0020000000949949026,0.0915905013680458,0.021212030202150345
Step-1,210,0.20999999344348907,0.002099999925121665,0.0961303859949112,0.023442400619387627
Step-1,220,0.2199999988079071,0.002199999988079071,0.1006644070148468,0.025791550055146217
Step-1,230,0.23000000417232513,0.002300000051036477,0.10519227385520935,0.028260963037610054
Step-1,240,0.23999999463558197,0.002400000113993883,0.10971368849277496,0.03085222840309143
Step-1,250,0.25,0.0024999999441206455,0.11422835290431976,0.03356703743338585
Step-1,260,0.25999999046325684,0.0026000000070780516,0.11873596906661987,0.03640719875693321
Step-1,270,0.27000001072883606,0.0027000000700354576,0.12323623150587082,0.039374638348817825
Step-1,280,0.2800000011920929,0.00279999990016222,0.12772883474826813,0.04247141256928444
Step-1,290,0.28999999165534973,0.002899999963119626,0.13221345841884613,0.04569970816373825
Step-1,300,0.30000001192092896,0.003000000026077032,0.13668981194496155,0.049061860889196396
Step-1,310,0.3100000023841858,0.003100000089034438,0.14115756750106812,0.05256034806370735
Step-1,320,0.3199999928474426,0.0031999999191612005,0.14561641216278076,0.05619782209396362
Step-1,330,0.33000001311302185,0.0032999999821186066,0.15006600320339203,0.059977106750011444
Step-1,340,0.3400000035762787,0.0034000000450760126,0.15450601279735565,0.06390120834112167
Step-1,350,0.3499999940395355,0.0035000001080334187,0.15893612802028656,0.06797333061695099
Step-1,360,0.36000001430511475,0.003599999938160181,0.1633559912443161,0.07219691574573517
Step-1,370,0.3700000047683716,0.003700000001117587,0.16776524484157562,0.07657560706138611
Step-1,380,0.3799999952316284,0.003800000064074993,0.17216356098651886,0.0811133161187172
