node,x,y,multiplier_F3,d_F3
1088,-0.07500000000000001,-0.3375,-1.0566171158887104e-08,0.0035637658473791924
1741,-0.012500000000000011,-0.2375,-1.0666221987359657e-08,0.007070353746073192
1905,0.012499999999999956,-0.21250000000000002,-1.0259204879229899e-08,0.009115640725511392
2227,-0.012500000000000011,-0.16249999999999998,-1.043458862095836e-08,0.009180110549694922
2386,-0.04999999999999999,-0.1375,-1.1018061363571008e-08,0.006239404978811135
2549,-0.03749999999999998,-0.11249999999999999,-2.22691913593131e-08,0.008295232010215455
2551,-0.012500000000000011,-0.11249999999999999,-1.6029597788927108e-08,0.01221065625758728
2553,0.012499999999999956,-0.11249999999999999,-1.3223125497885029e-08,0.015262163191889201
2555,0.03749999999999998,-0.11249999999999999,-1.0711487510797411e-08,0.016668124455172014
2628,-0.0625,-0.09999999999999998,-1.1288084934308802e-08,0.0050801012229331295
2629,-0.04999999999999999,-0.09999999999999998,-1.2513762134536717e-08,0.00685667050406214
2636,0.03749999999999998,-0.09999999999999998,-1.5911139400102462e-08,0.018109050309068328
2719,0.0625,-0.08750000000000002,-1.2254455533595427e-08,0.018393000569017964
2879,0.03749999999999998,-0.0625,-3.031953163202281e-08,0.023922967641050594
3038,0.0,-0.03749999999999998,-5.634083812093355e-08,0.03605162842064366
3043,0.0625,-0.03749999999999998,-1.4059974540906313e-08,0.020511623424872796
3204,0.050000000000000044,-0.012500000000000011,-1.4698722989078217e-08,0.02462557295106202
3324,0.03749999999999998,0.0,-7.758084222140432e-08,0.03189682502579989
3405,0.03749999999999998,0.012499999999999956,-7.735470684460399e-08,0.031510414470795944
3486,0.03749999999999998,0.025000000000000022,-5.528031422409938e-08,0.030611950730106655
3648,0.03749999999999998,0.050000000000000044,-4.535842860790813e-08,0.026286595612460315
3888,0.0,0.08750000000000002,-1.5169366010230066e-08,0.017288372198179927
3890,0.025000000000000022,0.08750000000000002,-2.168373968824003e-08,0.01966403132603317
3967,-0.025000000000000022,0.09999999999999998,-1.0401988297496975e-08,0.011271642449974464
3972,0.03749999999999998,0.09999999999999998,-1.2715958543241695e-08,0.018060542333185395
4047,-0.03749999999999998,0.11250000000000004,-1.0931772956462485e-08,0.008517003468691362
4050,0.0,0.11250000000000004,-1.3883303591103934e-08,0.01388585289370125
4051,0.012499999999999956,0.11250000000000004,-1.2000391692364986e-08,0.015135300454304668
4368,-0.07500000000000001,0.16249999999999998,-1.0798673137729617e-08,0.0039878787853392834
6322,0.050000000000000044,0.4625,-1.0059088304073445e-08,0.007486878905900687
