node,x,y,initial_release_seed,d_update,residual_Kd_minus_f
1088,-0.07500000000000001,-0.3375,True,8.765406481484614e-05,2.6469779601696886e-23
1741,-0.012500000000000011,-0.2375,True,8.845158771526602e-05,-1.0587911840678754e-22
1905,0.012499999999999956,-0.21250000000000002,True,9.528734738784711e-05,0.0
1985,0.0,-0.2,False,9.706485761712402e-05,-3.705769144237564e-22
2064,-0.025000000000000022,-0.1875,False,9.781413739123022e-05,-1.3234889800848443e-22
2065,-0.012500000000000011,-0.1875,False,9.466703352272073e-05,-1.852884572118782e-22
2146,-0.012500000000000011,-0.175,False,0.00010511686161501776,5.293955920339377e-23
2227,-0.012500000000000011,-0.16249999999999998,True,0.00011675373827671476,0.0
2306,-0.03749999999999998,-0.15000000000000002,False,0.00011249709812867926,-1.852884572118782e-22
2307,-0.025000000000000022,-0.15000000000000002,False,0.00011357596444962724,-5.293955920339377e-23
2309,0.0,-0.15000000000000002,False,8.781310474855787e-05,0.0
2386,-0.04999999999999999,-0.1375,True,0.00012857722061495463,5.293955920339377e-23
2388,-0.025000000000000022,-0.1375,False,0.0001264910734408778,3.1763735522036263e-22
2393,0.03749999999999998,-0.1375,False,9.916927689221193e-05,-1.0587911840678754e-22
2394,0.050000000000000044,-0.1375,False,0.00010145774531544922,-1.5881867761018131e-22
2467,-0.04999999999999999,-0.125,False,0.00011697539668999515,1.0587911840678754e-22
2468,-0.03749999999999998,-0.125,False,0.00014500276488987884,1.5881867761018131e-22
2469,-0.025000000000000022,-0.125,False,0.0001357168398320261,3.705769144237564e-22
2473,0.025000000000000022,-0.125,False,0.00011353717622951398,-2.6469779601696886e-22
2474,0.03749999999999998,-0.125,False,0.00013837612934602082,-4.235164736271502e-22
2475,0.050000000000000044,-0.125,False,0.00014610716323647244,3.705769144237564e-22
2476,0.0625,-0.125,False,0.00010396947892301125,-5.293955920339377e-23
2548,-0.04999999999999999,-0.11249999999999999,False,0.00012081923016983662,1.0587911840678754e-22
2549,-0.03749999999999998,-0.11249999999999999,True,0.00025710670447782503,-1.0587911840678754e-22
2551,-0.012500000000000011,-0.11249999999999999,True,0.0001589539877041371,-5.293955920339377e-22
2553,0.012499999999999956,-0.11249999999999999,True,0.00013683341607922776,2.6469779601696886e-22
2555,0.03749999999999998,-0.11249999999999999,True,0.00018965568588889467,0.0
2556,0.050000000000000044,-0.11249999999999999,False,0.00018535252042533104,-3.1763735522036263e-22
2557,0.0625,-0.11249999999999999,False,0.00012318866935014106,-2.117582368135751e-22
