element,integration_point,H_F3
233,4,0.0011859748409277292
234,1,0.0011996075155910016
234,2,0.0012082893505512154
234,3,0.0012082179273751542
234,4,0.0011995343913826716
235,1,0.0012160586397298263
235,2,0.001227365715230253
235,3,0.0012257648266639617
235,4,0.0012255710287790104
236,1,0.0012322918168948408
236,2,0.0012434112056543157
236,3,0.0012433448615762662
236,4,0.0012322227590177153
237,1,0.0012521387152097903
237,2,0.0012649031067781882
237,3,0.0012648427607382083
237,4,0.0012520751909832267
238,1,0.00127901992520037
238,2,0.0013006510163329527
238,3,0.0012978949078928442
238,4,0.0012974426932976506
239,1,0.0013011692956424572
239,2,0.0013166888814412979
239,3,0.0013166555966028124
239,4,0.001300313209391724
240,1,0.001329456561794352
240,2,0.0013480539044486667
240,3,0.001348042991688202
240,4,0.0013294395418145134
241,1,4.610939742944126e-05
241,2,4.088920516531052e-05
241,3,4.087663460015809e-05
241,4,4.610120805992459e-05
242,1,3.7319515043919046e-05
242,2,3.276276371581254e-05
242,3,3.273153158233549e-05
