node,x,y,d_F3,d_D3D_A1,d_update
1,-0.5,-0.5,0.000368641332236321,0.000368641332236321,0.0
2,-0.4875,-0.5,0.00035086221410741297,0.00035086221410741297,0.0
3,-0.475,-0.5,0.0003204043954042067,0.0003204043954042067,0.0
4,-0.4625,-0.5,0.00028047126406817436,0.00028047126406817436,0.0
5,-0.45,-0.5,0.0002307256635959293,0.0002307256635959293,0.0
6,-0.4375,-0.5,0.00019137869072657817,0.00019137869072657817,0.0
7,-0.425,-0.5,0.00013132407318566282,0.00013132407318566282,0.0
8,-0.4125,-0.5,9.296971224648865e-05,9.296971224648865e-05,0.0
9,-0.4,-0.5,6.495327271787614e-05,6.495327271787614e-05,0.0
10,-0.3875,-0.5,4.181620640199759e-05,4.181620640199759e-05,0.0
11,-0.375,-0.5,3.1352191837018283e-05,3.1352191837018283e-05,0.0
12,-0.3625,-0.5,2.5666741828164795e-05,2.5666741828164795e-05,0.0
13,-0.35,-0.5,3.220688234487778e-05,3.220688234487778e-05,0.0
14,-0.3375,-0.5,4.7070538080622995e-05,4.7070538080622995e-05,0.0
15,-0.325,-0.5,6.91640454095351e-05,6.91640454095351e-05,0.0
16,-0.3125,-0.5,0.00010838553270897929,0.00010838553270897929,0.0
17,-0.3,-0.5,0.00014664247859031787,0.00014664247859031787,0.0
18,-0.2875,-0.5,0.00020126701469545097,0.00020126701469545097,0.0
19,-0.275,-0.5,0.00028719375827603987,0.00028719375827603987,0.0
20,-0.2625,-0.5,0.0003447103898485745,0.0003447103898485745,0.0
21,-0.25,-0.5,0.00043318750564180954,0.00043318750564180954,0.0
22,-0.2375,-0.5,0.0005373917326390355,0.0005373917326390355,0.0
23,-0.22499999999999998,-0.5,0.0006599303369579841,0.0006599303369579841,0.0
24,-0.21250000000000002,-0.5,0.000789654989663946,0.000789654989663946,0.0
25,-0.2,-0.5,0.0009353485160437363,0.0009353485160437363,0.0
26,-0.1875,-0.5,0.0011356733770969433,0.0011356733770969433,0.0
27,-0.175,-0.5,0.001308710760777772,0.001308710760777772,0.0
28,-0.16249999999999998,-0.5,0.0015181640582949028,0.0015181640582949028,0.0
