node,x,y,active_F3,initial_active_A1,initial_release_seed
155,0.4125,-0.4875,True,True,False
156,0.42500000000000004,-0.4875,True,True,False
157,0.4375,-0.4875,True,True,False
158,0.44999999999999996,-0.4875,True,True,False
159,0.4625,-0.4875,True,True,False
160,0.475,-0.4875,True,True,False
161,0.48750000000000004,-0.4875,True,True,False
162,0.5,-0.4875,True,True,False
163,-0.5,-0.475,True,True,False
164,-0.4875,-0.475,True,True,False
165,-0.475,-0.475,True,True,False
166,-0.4625,-0.475,True,True,False
167,-0.45,-0.475,True,True,False
168,-0.4375,-0.475,True,True,False
169,-0.425,-0.475,True,True,False
170,-0.4125,-0.475,True,True,False
171,-0.4,-0.475,True,True,False
172,-0.3875,-0.475,True,True,False
173,-0.375,-0.475,True,True,False
174,-0.3625,-0.475,True,True,False
175,-0.35,-0.475,True,True,False
176,-0.3375,-0.475,True,True,False
177,-0.325,-0.475,True,True,False
178,-0.3125,-0.475,True,True,False
179,-0.3,-0.475,True,True,False
180,-0.2875,-0.475,True,True,False
181,-0.275,-0.475,True,True,False
182,-0.2625,-0.475,True,True,False
183,-0.25,-0.475,True,True,False
184,-0.2375,-0.475,True,True,False
185,-0.22499999999999998,-0.475,True,True,False
186,-0.21250000000000002,-0.475,True,True,False
187,-0.2,-0.475,True,True,False
188,-0.1875,-0.475,True,True,False
189,-0.175,-0.475,True,True,False
190,-0.16249999999999998,-0.475,True,True,False
191,-0.15000000000000002,-0.475,True,True,False
192,-0.1375,-0.475,True,True,False
193,-0.125,-0.475,True,True,False
194,-0.11249999999999999,-0.475,True,True,False
195,-0.09999999999999998,-0.475,True,True,False
196,-0.08750000000000002,-0.475,True,True,False
197,-0.07500000000000001,-0.475,True,True,False
198,-0.0625,-0.475,True,True,False
199,-0.04999999999999999,-0.475,True,True,False
200,-0.03749999999999998,-0.475,True,True,False
201,-0.025000000000000022,-0.475,True,True,False
202,-0.012500000000000011,-0.475,True,True,False
203,0.0,-0.475,True,True,False
204,0.012499999999999956,-0.475,True,True,False
205,0.025000000000000022,-0.475,True,True,False
206,0.03749999999999998,-0.475,True,True,False
207,0.050000000000000044,-0.475,True,True,False
208,0.0625,-0.475,True,True,False
209,0.07499999999999996,-0.475,True,True,False
210,0.08750000000000002,-0.475,True,True,False
211,0.09999999999999998,-0.475,True,True,False
212,0.11250000000000004,-0.475,True,True,False
213,0.125,-0.475,True,True,False
214,0.13749999999999996,-0.475,True,True,False
215,0.15000000000000002,-0.475,True,True,False
216,0.16249999999999998,-0.475,True,True,False
217,0.17500000000000004,-0.475,True,True,False
218,0.1875,-0.475,True,True,False
219,0.19999999999999996,-0.475,True,True,False
220,0.21250000000000002,-0.475,True,True,False
221,0.22499999999999998,-0.475,True,True,False
222,0.23750000000000004,-0.475,True,True,False
223,0.25,-0.475,True,True,False
224,0.26249999999999996,-0.475,True,True,False
225,0.275,-0.475,True,True,False
226,0.2875,-0.475,True,True,False
227,0.30000000000000004,-0.475,True,True,False
228,0.3125,-0.475,True,True,False
229,0.32499999999999996,-0.475,True,True,False
230,0.3375,-0.475,True,True,False
231,0.35,-0.475,True,True,False
232,0.36250000000000004,-0.475,True,True,False
233,0.375,-0.475,True,True,False
234,0.38749999999999996,-0.475,True,True,False
235,0.4,-0.475,True,True,False
236,0.4125,-0.475,True,True,False
237,0.42500000000000004,-0.475,True,True,False
238,0.4375,-0.475,True,True,False
239,0.44999999999999996,-0.475,True,True,False
240,0.4625,-0.475,True,True,False
241,0.475,-0.475,True,True,False
242,0.48750000000000004,-0.475,True,True,False
243,0.5,-0.475,True,True,False
244,-0.5,-0.4625,True,True,False
245,-0.4875,-0.4625,True,True,False
246,-0.475,-0.4625,True,True,False
247,-0.4625,-0.4625,True,True,False
248,-0.45,-0.4625,True,True,False
249,-0.4375,-0.4625,True,True,False
250,-0.425,-0.4625,True,True,False
251,-0.4125,-0.4625,True,True,False
252,-0.4,-0.4625,False,False,False
253,-0.3875,-0.4625,True,True,False
254,-0.375,-0.4625,True,True,False
255,-0.3625,-0.4625,True,True,False
256,-0.35,-0.4625,True,True,False
257,-0.3375,-0.4625,True,True,False
258,-0.325,-0.4625,True,True,False
259,-0.3125,-0.4625,True,True,False
260,-0.3,-0.4625,True,True,False
261,-0.2875,-0.4625,True,True,False
262,-0.275,-0.4625,True,True,False
263,-0.2625,-0.4625,True,True,False
264,-0.25,-0.4625,True,True,False
265,-0.2375,-0.4625,True,True,False
