node_id,x,y
1,-0.5,-0.5
2,-0.475,-0.5
3,-0.45,-0.5
4,-0.425,-0.5
5,-0.4,-0.5
6,-0.375,-0.5
7,-0.35,-0.5
8,-0.32499999999999996,-0.5
9,-0.3,-0.5
10,-0.275,-0.5
11,-0.25,-0.5
12,-0.22499999999999998,-0.5
13,-0.19999999999999996,-0.5
14,-0.175,-0.5
15,-0.14999999999999997,-0.5
16,-0.125,-0.5
17,-0.09999999999999998,-0.5
18,-0.07499999999999996,-0.5
19,-0.04999999999999999,-0.5
20,-0.024999999999999967,-0.5
21,0.0,-0.5
22,0.025000000000000022,-0.5
23,0.050000000000000044,-0.5
24,0.07500000000000007,-0.5
25,0.10000000000000009,-0.5
26,0.125,-0.5
27,0.15000000000000002,-0.5
28,0.17500000000000004,-0.5
29,0.20000000000000007,-0.5
30,0.2250000000000001,-0.5
31,0.25,-0.5
32,0.275,-0.5
33,0.30000000000000004,-0.5
34,0.32500000000000007,-0.5
35,0.3500000000000001,-0.5
36,0.375,-0.5
37,0.4,-0.5
38,0.42500000000000004,-0.5
39,0.45000000000000007,-0.5
40,0.4750000000000001,-0.5
41,0.5,-0.5
42,-0.5,-0.475
43,-0.475,-0.475
44,-0.45,-0.475
45,-0.425,-0.475
46,-0.4,-0.475
47,-0.375,-0.475
48,-0.35,-0.475
49,-0.32499999999999996,-0.475
50,-0.3,-0.475
51,-0.275,-0.475
52,-0.25,-0.475
53,-0.22499999999999998,-0.475
54,-0.19999999999999996,-0.475
55,-0.175,-0.475
56,-0.14999999999999997,-0.475
57,-0.125,-0.475
58,-0.09999999999999998,-0.475
59,-0.07499999999999996,-0.475
60,-0.04999999999999999,-0.475
61,-0.024999999999999967,-0.475
62,0.0,-0.475
63,0.025000000000000022,-0.475
64,0.050000000000000044,-0.475
65,0.07500000000000007,-0.475
66,0.10000000000000009,-0.475
67,0.125,-0.475
68,0.15000000000000002,-0.475
69,0.17500000000000004,-0.475
70,0.20000000000000007,-0.475
71,0.2250000000000001,-0.475
72,0.25,-0.475
73,0.275,-0.475
74,0.30000000000000004,-0.475
75,0.32500000000000007,-0.475
76,0.3500000000000001,-0.475
77,0.375,-0.475
78,0.4,-0.475
79,0.42500000000000004,-0.475
80,0.45000000000000007,-0.475
81,0.4750000000000001,-0.475
82,0.5,-0.475
83,-0.5,-0.45
84,-0.475,-0.45
85,-0.45,-0.45
86,-0.425,-0.45
87,-0.4,-0.45
88,-0.375,-0.45
89,-0.35,-0.45
90,-0.32499999999999996,-0.45
91,-0.3,-0.45
92,-0.275,-0.45
93,-0.25,-0.45
94,-0.22499999999999998,-0.45
95,-0.19999999999999996,-0.45
96,-0.175,-0.45
97,-0.14999999999999997,-0.45
98,-0.125,-0.45
99,-0.09999999999999998,-0.45
100,-0.07499999999999996,-0.45
101,-0.04999999999999999,-0.45
102,-0.024999999999999967,-0.45
103,0.0,-0.45
104,0.025000000000000022,-0.45
105,0.050000000000000044,-0.45
106,0.07500000000000007,-0.45
107,0.10000000000000009,-0.45
108,0.125,-0.45
109,0.15000000000000002,-0.45
110,0.17500000000000004,-0.45
111,0.20000000000000007,-0.45
112,0.2250000000000001,-0.45
113,0.25,-0.45
114,0.275,-0.45
115,0.30000000000000004,-0.45
116,0.32500000000000007,-0.45
117,0.3500000000000001,-0.45
118,0.375,-0.45
119,0.4,-0.45
120,0.42500000000000004,-0.45
121,0.45000000000000007,-0.45
122,0.4750000000000001,-0.45
123,0.5,-0.45
124,-0.5,-0.425
125,-0.475,-0.425
126,-0.45,-0.425
127,-0.425,-0.425
128,-0.4,-0.425
129,-0.375,-0.425
130,-0.35,-0.425
131,-0.32499999999999996,-0.425
132,-0.3,-0.425
133,-0.275,-0.425
134,-0.25,-0.425
135,-0.22499999999999998,-0.425
136,-0.19999999999999996,-0.425
137,-0.175,-0.425
138,-0.14999999999999997,-0.425
139,-0.125,-0.425
140,-0.09999999999999998,-0.425
141,-0.07499999999999996,-0.425
142,-0.04999999999999999,-0.425
143,-0.024999999999999967,-0.425
144,0.0,-0.425
145,0.025000000000000022,-0.425
146,0.050000000000000044,-0.425
147,0.07500000000000007,-0.425
148,0.10000000000000009,-0.425
149,0.125,-0.425
150,0.15000000000000002,-0.425
151,0.17500000000000004,-0.425
152,0.20000000000000007,-0.425
153,0.2250000000000001,-0.425
154,0.25,-0.425
155,0.275,-0.425
156,0.30000000000000004,-0.425
157,0.32500000000000007,-0.425
158,0.3500000000000001,-0.425
159,0.375,-0.425
160,0.4,-0.425
161,0.42500000000000004,-0.425
162,0.45000000000000007,-0.425
163,0.4750000000000001,-0.425
164,0.5,-0.425
165,-0.5,-0.4
166,-0.475,-0.4
167,-0.45,-0.4
168,-0.425,-0.4
169,-0.4,-0.4
170,-0.375,-0.4
171,-0.35,-0.4
172,-0.32499999999999996,-0.4
173,-0.3,-0.4
174,-0.275,-0.4
175,-0.25,-0.4
176,-0.22499999999999998,-0.4
177,-0.19999999999999996,-0.4
178,-0.175,-0.4
179,-0.14999999999999997,-0.4
180,-0.125,-0.4
181,-0.09999999999999998,-0.4
182,-0.07499999999999996,-0.4
183,-0.04999999999999999,-0.4
184,-0.024999999999999967,-0.4
185,0.0,-0.4
186,0.025000000000000022,-0.4
187,0.050000000000000044,-0.4
188,0.07500000000000007,-0.4
189,0.10000000000000009,-0.4
190,0.125,-0.4
191,0.15000000000000002,-0.4
192,0.17500000000000004,-0.4
193,0.20000000000000007,-0.4
194,0.2250000000000001,-0.4
195,0.25,-0.4
196,0.275,-0.4
197,0.30000000000000004,-0.4
198,0.32500000000000007,-0.4
199,0.3500000000000001,-0.4
200,0.375,-0.4
201,0.4,-0.4
202,0.42500000000000004,-0.4
203,0.45000000000000007,-0.4
204,0.4750000000000001,-0.4
205,0.5,-0.4
206,-0.5,-0.375
207,-0.475,-0.375
208,-0.45,-0.375
209,-0.425,-0.375
210,-0.4,-0.375
211,-0.375,-0.375
212,-0.35,-0.375
213,-0.32499999999999996,-0.375
214,-0.3,-0.375
215,-0.275,-0.375
216,-0.25,-0.375
217,-0.22499999999999998,-0.375
218,-0.19999999999999996,-0.375
219,-0.175,-0.375
220,-0.14999999999999997,-0.375
221,-0.125,-0.375
222,-0.09999999999999998,-0.375
223,-0.07499999999999996,-0.375
224,-0.04999999999999999,-0.375
225,-0.024999999999999967,-0.375
226,0.0,-0.375
227,0.025000000000000022,-0.375
228,0.050000000000000044,-0.375
229,0.07500000000000007,-0.375
230,0.10000000000000009,-0.375
231,0.125,-0.375
232,0.15000000000000002,-0.375
233,0.17500000000000004,-0.375
234,0.20000000000000007,-0.375
235,0.2250000000000001,-0.375
236,0.25,-0.375
237,0.275,-0.375
238,0.30000000000000004,-0.375
239,0.32500000000000007,-0.375
240,0.3500000000000001,-0.375
241,0.375,-0.375
242,0.4,-0.375
243,0.42500000000000004,-0.375
244,0.45000000000000007,-0.375
245,0.4750000000000001,-0.375
246,0.5,-0.375
247,-0.5,-0.35
248,-0.475,-0.35
249,-0.45,-0.35
250,-0.425,-0.35
251,-0.4,-0.35
252,-0.375,-0.35
253,-0.35,-0.35
254,-0.32499999999999996,-0.35
255,-0.3,-0.35
256,-0.275,-0.35
257,-0.25,-0.35
258,-0.22499999999999998,-0.35
259,-0.19999999999999996,-0.35
260,-0.175,-0.35
261,-0.14999999999999997,-0.35
262,-0.125,-0.35
263,-0.09999999999999998,-0.35
264,-0.07499999999999996,-0.35
265,-0.04999999999999999,-0.35
266,-0.024999999999999967,-0.35
267,0.0,-0.35
268,0.025000000000000022,-0.35
269,0.050000000000000044,-0.35
270,0.07500000000000007,-0.35
271,0.10000000000000009,-0.35
272,0.125,-0.35
273,0.15000000000000002,-0.35
274,0.17500000000000004,-0.35
275,0.20000000000000007,-0.35
276,0.2250000000000001,-0.35
277,0.25,-0.35
278,0.275,-0.35
279,0.30000000000000004,-0.35
280,0.32500000000000007,-0.35
281,0.3500000000000001,-0.35
282,0.375,-0.35
283,0.4,-0.35
284,0.42500000000000004,-0.35
285,0.45000000000000007,-0.35
286,0.4750000000000001,-0.35
287,0.5,-0.35
288,-0.5,-0.32499999999999996
289,-0.475,-0.32499999999999996
290,-0.45,-0.32499999999999996
291,-0.425,-0.32499999999999996
292,-0.4,-0.32499999999999996
293,-0.375,-0.32499999999999996
294,-0.35,-0.32499999999999996
295,-0.32499999999999996,-0.32499999999999996
296,-0.3,-0.32499999999999996
297,-0.275,-0.32499999999999996
298,-0.25,-0.32499999999999996
299,-0.22499999999999998,-0.32499999999999996
300,-0.19999999999999996,-0.32499999999999996
301,-0.175,-0.32499999999999996
302,-0.14999999999999997,-0.32499999999999996
303,-0.125,-0.32499999999999996
304,-0.09999999999999998,-0.32499999999999996
305,-0.07499999999999996,-0.32499999999999996
306,-0.04999999999999999,-0.32499999999999996
307,-0.024999999999999967,-0.32499999999999996
308,0.0,-0.32499999999999996
309,0.025000000000000022,-0.32499999999999996
310,0.050000000000000044,-0.32499999999999996
311,0.07500000000000007,-0.32499999999999996
312,0.10000000000000009,-0.32499999999999996
313,0.125,-0.32499999999999996
314,0.15000000000000002,-0.32499999999999996
315,0.17500000000000004,-0.32499999999999996
316,0.20000000000000007,-0.32499999999999996
317,0.2250000000000001,-0.32499999999999996
318,0.25,-0.32499999999999996
319,0.275,-0.32499999999999996
320,0.30000000000000004,-0.32499999999999996
321,0.32500000000000007,-0.32499999999999996
322,0.3500000000000001,-0.32499999999999996
323,0.375,-0.32499999999999996
324,0.4,-0.32499999999999996
325,0.42500000000000004,-0.32499999999999996
326,0.45000000000000007,-0.32499999999999996
