step,time,control_rf1,forced_rf1,difference
MONOTONIC,0.0,0.0,0.0,0.0
MONOTONIC,0.019999999552965164,0.004732691057142802,0.004732691057142802,0.0
MONOTONIC,0.03999999910593033,0.009465382114285603,0.009465382114285603,0.0
MONOTONIC,0.05999999865889549,0.014118904917268082,0.014118904917268082,0.0
MONOTONIC,0.07999999821186066,0.01851495268056169,0.01851495268056169,0.0
MONOTONIC,0.10000000149011612,0.02251432917546481,0.02251432917546481,0.0
MONOTONIC,0.11999999731779099,0.026019758719485253,0.026019758719485253,0.0
MONOTONIC,0.14000000059604645,0.028940494114067405,0.028940494114067405,0.0
MONOTONIC,0.1599999964237213,0.03126159921521321,0.03126159921521321,0.0
MONOTONIC,0.18000000715255737,0.03295114770298824,0.03295114770298824,0.0
MONOTONIC,0.20000000298023224,0.03406423586420715,0.03406423586420715,0.0
MONOTONIC,0.2199999988079071,0.034618225414305925,0.034618225414305925,0.0
MONOTONIC,0.23999999463558197,0.034702499106060714,0.034702499106060714,0.0
MONOTONIC,0.25999999046325684,0.03436571569181979,0.03436571569181979,0.0
MONOTONIC,0.2800000011920929,0.03369602729799226,0.03369602729799226,0.0
MONOTONIC,0.30000001192092896,0.03275615454185754,0.03275615454185754,0.0
MONOTONIC,0.3199999928474426,0.03161176893627271,0.03161176893627271,0.0
MONOTONIC,0.3400000035762787,0.03032721736235544,0.03032721736235544,0.0
MONOTONIC,0.36000001430511475,0.0289398196619004,0.0289398196619004,0.0
MONOTONIC,0.3799999952316284,0.027508189086802304,0.027508189086802304,0.0
MONOTONIC,0.4000000059604645,0.026045214326586574,0.026045214326586574,0.0
MONOTONIC,0.41999998688697815,0.024600272765383124,0.024600272765383124,0.0
MONOTONIC,0.4399999976158142,0.023169499239884317,0.023169499239884317,0.0
MONOTONIC,0.46000000834465027,0.021791980194393545,0.021791980194393545,0.0
MONOTONIC,0.47999998927116394,0.020454690151382238,0.020454690151382238,0.0
MONOTONIC,0.5,0.019186695339158177,0.019186695339158177,0.0
MONOTONIC,0.5199999809265137,0.017971735855098814,0.017971735855098814,0.0
MONOTONIC,0.5400000214576721,0.016829671047162265,0.016829671047162265,0.0
MONOTONIC,0.5600000023841858,0.01574505981989205,0.01574505981989205,0.0
MONOTONIC,0.5799999833106995,0.014729429705766961,0.014729429705766961,0.0
MONOTONIC,0.6000000238418579,0.01377072196919471,0.01377072196919471,0.0
MONOTONIC,0.6200000047683716,0.01287279513780959,0.01287279513780959,0.0
MONOTONIC,0.6399999856948853,0.012028282217215747,0.012028282217215747,0.0
MONOTONIC,0.6600000262260437,0.011229875381104648,0.011229875381104648,0.0
MONOTONIC,0.6800000071525574,0.010476897557964548,0.010476897557964548,0.0
MONOTONIC,0.699999988079071,0.009748454962391406,0.009748454962391406,0.0
MONOTONIC,0.7200000286102295,0.009057352144736797,0.009057352144736797,0.0
MONOTONIC,0.7400000095367432,0.008379002334550023,0.008379002334550023,0.0
MONOTONIC,0.7599999904632568,0.007735002582194284,0.007735002582194284,0.0
MONOTONIC,0.7799999713897705,0.007101765877450816,0.007101765877450816,0.0
MONOTONIC,0.800000011920929,0.00650376510748174,0.00650376510748174,0.0
MONOTONIC,0.8199999928474426,0.005922114185523242,0.005922114185523242,0.0
MONOTONIC,0.8399999737739563,0.005378202040446922,0.005378202040446922,0.0
MONOTONIC,0.8600000143051147,0.004865108610829338,0.004865108610829338,0.0
MONOTONIC,0.8799999952316284,0.004399663215735927,0.004399663215735927,0.0
MONOTONIC,0.8999999761581421,0.003973085425968748,0.003973085425968748,0.0
MONOTONIC,0.9200000166893005,0.003590500433347188,0.003590500433347188,0.0
MONOTONIC,0.9399999976158142,0.0032445815231767483,0.0032445815231767483,0.0
MONOTONIC,0.9599999785423279,0.0029382669781625737,0.0029382669781625737,0.0
MONOTONIC,0.9800000190734863,0.0026592575377435423,0.0026592575377435423,0.0
MONOTONIC,1.0,0.0024105549418891314,0.0024105549418891314,0.0
UNLOAD_RELOAD,0.0,0.0024105549418891314,0.0024105549418891314,0.0
UNLOAD_RELOAD,0.019999999552965164,0.0020858024636254413,0.0020858024636254413,0.0
UNLOAD_RELOAD,0.03999999910593033,0.0018076613177981926,0.0018076613177981926,0.0
UNLOAD_RELOAD,0.05999999865889549,0.001683887454419164,0.001683887454419164,0.0
UNLOAD_RELOAD,0.07000000029802322,0.0016289540815247593,0.001597513535671169,-3.144054585359039e-05
UNLOAD_RELOAD,0.07999999821186066,0.0015740207290946273,0.0015701462575389933,-3.874471555634015e-06
UNLOAD_RELOAD,0.08500000089406967,0.0015608541599312741,0.0015564626082777977,-4.391551653476445e-06
UNLOAD_RELOAD,0.10000000149011612,0.0015213544720609207,0.0015080998062273752,-1.3254665833545504e-05
UNLOAD_RELOAD,0.10499999672174454,0.0015092082252978934,0.001491978888225276,-1.722933707261733e-05
UNLOAD_RELOAD,0.11999999731779099,0.0014727694488101406,0.0014572817083147323,-1.5487740495408273e-05
UNLOAD_RELOAD,0.125,0.0014610815348647822,0.0014457159759331262,-1.536555893165599e-05
UNLOAD_RELOAD,0.14000000059604645,0.001426017810445046,0.001411018671228997,-1.4999139216048977e-05
UNLOAD_RELOAD,0.14499999582767487,0.0014143291524081705,0.0013994529144838452,-1.4876237924325245e-05
UNLOAD_RELOAD,0.1599999964237213,0.0013792631434625946,0.001364755621988795,-1.4507521473799663e-05
UNLOAD_RELOAD,0.16500000655651093,0.001367574439745355,0.0013531898348446703,-1.4384604900684762e-05
UNLOAD_RELOAD,0.18000000715255737,0.0013325083982635988,0.0013184925533326617,-1.40158449309371e-05
UNLOAD_RELOAD,0.1850000023841858,0.0013208197170346255,0.0013069268043182092,-1.3892912716416276e-05
UNLOAD_RELOAD,0.20000000298023224,0.0012857536385126878,0.0012722295214419583,-1.3524117070729414e-05
UNLOAD_RELOAD,0.20499999821186066,0.0012740649700166307,0.0012606637719727587,-1.3401198043872008e-05
UNLOAD_RELOAD,0.2199999988079071,0.00123899892969348,0.0012259665150171131,-1.3032414676366873e-05
UNLOAD_RELOAD,0.22499999403953552,0.0012273102541488445,0.0012144007741881069,-1.290947996073757e-05
UNLOAD_RELOAD,0.23999999463558197,0.0011922441926799365,0.0011797034578188326,-1.2540734861103946e-05
UNLOAD_RELOAD,0.24500000476837158,0.0011805554966248736,0.0011681376627166173,-1.2417833908256277e-05
UNLOAD_RELOAD,0.25999999046325684,0.0011454895129645593,0.0011334403870932874,-1.2049125871271826e-05
UNLOAD_RELOAD,0.26499998569488525,0.0011338008395348341,0.0011218746285521775,-1.1926210982656687e-05
UNLOAD_RELOAD,0.2800000011920929,0.0010987347495756694,0.0010871773575224172,-1.1557392053252206e-05
UNLOAD_RELOAD,0.2849999964237213,0.0010870460761459443,0.001075611623491568,-1.1434452654376275e-05
UNLOAD_RELOAD,0.30000001192092896,0.0010519799861867796,0.0010409143858857548,-1.1065600301024808e-05
UNLOAD_RELOAD,0.3050000071525574,0.0010402913169400563,0.001029348662996199,-1.0942653943857295e-05
UNLOAD_RELOAD,0.3199999928474426,0.0010052253091998864,0.000994651413975589,-1.0573895224297303e-05
UNLOAD_RELOAD,0.32499998807907104,0.0009935366439556015,0.0009830856643020525,-1.0450979653548994e-05
UNLOAD_RELOAD,0.3400000035762787,0.0009584705785528058,0.0009483884035041127,-1.0082175048693113e-05
UNLOAD_RELOAD,0.3449999988079071,0.0009467819194476009,0.0009368226728838636,-9.95924656373734e-06
UNLOAD_RELOAD,0.36000001430511475,0.0009117158724620822,0.0009021254502847202,-9.590422177361939e-06
UNLOAD_RELOAD,0.36500000953674316,0.000900027196166775,0.000890559732397378,-9.467463769397e-06
UNLOAD_RELOAD,0.3799999952316284,0.0008649611672808533,0.0008558625133900932,-9.098653890760033e-06
UNLOAD_RELOAD,0.38499999046325684,0.0008532725118136217,0.0008442967737209983,-8.975738092623412e-06
UNLOAD_RELOAD,0.4000000059604645,0.0008182064757420449,0.000809599564082161,-8.606911659883847e-06
UNLOAD_RELOAD,0.4050000011920929,0.000806517799219364,0.000798033850514912,-8.483948704451905e-06
