node,x,y,d_lower_bound
1,-0.5,-0.5,0.00029949358368940466
2,-0.4875,-0.5,0.0003024925259331761
3,-0.475,-0.5,0.0002955967444676714
4,-0.4625,-0.5,0.00026722675648941995
5,-0.45,-0.5,0.0002224358839329488
6,-0.4375,-0.5,0.00019137869072657814
7,-0.425,-0.5,0.0001161364884991698
8,-0.4125,-0.5,8.79515102431872e-05
9,-0.4,-0.5,6.495327271787614e-05
10,-0.3875,-0.5,3.758110448235131e-05
11,-0.375,-0.5,3.1352191837018283e-05
12,-0.3625,-0.5,2.522101618820705e-05
13,-0.35,-0.5,3.220688234487778e-05
14,-0.3375,-0.5,4.7070538080622995e-05
15,-0.325,-0.5,6.438624773248023e-05
16,-0.3125,-0.5,0.00010838553270897932
17,-0.3,-0.5,0.00014284154402430084
18,-0.2875,-0.5,0.00019060262595818102
19,-0.275,-0.5,0.00028719375827603987
20,-0.2625,-0.5,0.0003372200696517562
21,-0.25,-0.5,0.00042072627579494326
22,-0.2375,-0.5,0.0004707810871710676
23,-0.22499999999999998,-0.5,0.0006599303369579841
24,-0.21250000000000002,-0.5,0.0007820540160651615
25,-0.2,-0.5,0.0008722413111892593
26,-0.1875,-0.5,0.0011356733770969429
27,-0.175,-0.5,0.0013007805621114677
28,-0.16249999999999998,-0.5,0.001451437533904035
29,-0.15000000000000002,-0.5,0.0017974831222285176
30,-0.1375,-0.5,0.001987924842223107
31,-0.125,-0.5,0.002206932456870471
32,-0.11249999999999999,-0.5,0.0026750133376179856
33,-0.09999999999999998,-0.5,0.0028725424232713395
34,-0.08750000000000002,-0.5,0.0031443379708513534
35,-0.07500000000000001,-0.5,0.0037133045688111177
36,-0.0625,-0.5,0.003920591399018257
37,-0.04999999999999999,-0.5,0.004253758650781742
38,-0.03749999999999998,-0.5,0.0044479261875140785
39,-0.025000000000000022,-0.5,0.005062373675752916
40,-0.012500000000000011,-0.5,0.005451862916880818
41,0.0,-0.5,0.00570933200453533
42,0.012499999999999956,-0.5,0.006256471281999162
43,0.025000000000000022,-0.5,0.0066565459518820175
